drop_ratio,hidden_size,k,lambda_n,lambda_q,lambda_v,lambda_w,matrix_noise,rmse_train,mae_train,rmse_test,mae_test
0.1,100,25,1,0.1,1,1,0.3,0.9441059820950993,0.7272157828361627,1.0594401206365465,0.81640770722843
0.1,100,25,1,0.1,1,1,0.4,0.9441694911742032,0.7271194037914022,1.0601140225286718,0.8168827446434401
0.1,100,25,1,1,1,1,0.3,0.9626585465538768,0.7412514072102274,1.058514016936636,0.8155719864414069
0.1,100,25,1,1,1,1,0.4,0.9625248623004139,0.741215453392,1.05876155551553,0.8156938473660769
0.1,100,50,1,0.1,1,1,0.3,0.9153150545229621,0.7052240863911491,1.0617315202876116,0.8186630605266891
0.1,100,50,1,0.1,1,1,0.4,0.9154849367474598,0.7052282404943068,1.0611495229268002,0.8180860806932441
0.1,100,50,1,1,1,1,0.3,0.9510555944046175,0.732502135563469,1.0593724584146116,0.8163650707723714
0.1,100,50,1,1,1,1,0.4,0.9511627269301202,0.7325449233720329,1.0592824404126993,0.8162923659246734
0.1,150,25,1,0.1,1,1,0.3,0.9443423601424228,0.727307354827293,1.0595375751007041,0.8163733891226311
0.1,150,25,1,0.1,1,1,0.4,0.9444643145107284,0.7274087577494638,1.0600465714798153,0.8169862200455043
0.1,150,25,1,1,1,1,0.3,0.9626531308215289,0.7413454196390625,1.0584959915893553,0.8155675416295266
0.1,150,25,1,1,1,1,0.4,0.9625718836298596,0.7412605959713525,1.0587297828924496,0.8157876810994207
0.1,150,50,1,0.1,1,1,0.3,0.9156690454894592,0.7054381831884763,1.0607668104852066,0.817883960612693
0.1,150,50,1,0.1,1,1,0.4,0.9156428773341707,0.7053864415237993,1.0610039472663781,0.8179542146052313
0.1,150,50,1,1,1,1,0.3,0.9511038935757126,0.7324769821317941,1.0590207070972617,0.8161461308988026
0.1,150,50,1,1,1,1,0.4,0.9510647834429556,0.7324793743850665,1.058937643424052,0.8159527471999778
0.2,100,25,1,0.1,1,1,0.3,0.9445592371257857,0.7274064401207672,1.0598749506922436,0.816788106830114
0.2,100,25,1,0.1,1,1,0.4,0.9442005021196831,0.7271511333848347,1.0592716958504784,0.816425245958889
0.2,100,25,1,1,1,1,0.3,0.9626731923786416,0.7413110482264996,1.058544569414636,0.8155976281570207
0.2,100,25,1,1,1,1,0.4,0.9625233490942867,0.7412245775254585,1.05863806287667,0.8157177792416476
0.2,100,50,1,0.1,1,1,0.3,0.9155973522920168,0.7053185081722986,1.061206760034338,0.8181061505471324
0.2,100,50,1,0.1,1,1,0.4,0.9156270814696403,0.7055713703088191,1.0612213811485052,0.8181411773003205
0.2,100,50,1,1,1,1,0.3,0.9510786650268092,0.732497971083827,1.0590371948431994,0.8161092332371487
0.2,100,50,1,1,1,1,0.4,0.9511557385380797,0.7325589101449324,1.0590658362194953,0.8160408867148358
0.2,150,25,1,0.1,1,1,0.3,0.9444154143026734,0.7272978929352161,1.0599653665914013,0.8168006499453274
0.2,150,25,1,0.1,1,1,0.4,0.9442945026646242,0.7272117522989922,1.0599436667022322,0.8167829511225829
0.2,150,25,1,1,1,1,0.3,0.9624601348014781,0.7411560536832243,1.0586000980347625,0.8156194687691934
0.2,150,25,1,1,1,1,0.4,0.9626947680095332,0.7412925253956278,1.0587528028399558,0.815731477426192
0.2,150,50,1,0.1,1,1,0.3,0.9156602970789394,0.7053816082182379,1.0610211604224138,0.8178015031483069
0.2,150,50,1,0.1,1,1,0.4,0.9157308526958904,0.7055366408035569,1.0610762819886266,0.8181113276377743
0.2,150,50,1,1,1,1,0.3,0.9513309934027818,0.732675681970609,1.0591398125278781,0.8161162374169422
0.2,150,50,1,1,1,1,0.4,0.9511453582044419,0.7325179706977237,1.0590883840484608,0.8162162581676529
