category,predictor,nfactors,rmse,mae
Video Games,Normal Predictor,,1.5605183546921382,1.1951207545611933
Toys and Games,Normal Predictor,,1.269725259322055,0.9388364351077116
Sports and Outdoors,Normal Predictor,,1.2570548666627277,0.9185804034512601
Movies and TV,Normal Predictor,,1.5446188202455615,1.1799525006938478
Kindle Store,Normal Predictor,,1.2274414243547709,0.9152048319565341
Home and Kitchen,Normal Predictor,,1.4180901248895903,1.0420719991193375
Health and Personal Care,Normal Predictor,,1.4330520510947997,1.0657127331553247
Electronics,Normal Predictor,,1.5167097988918177,1.1317972804297254
Clothing Shoes and Jewelry,Normal Predictor,,1.413959073690552,1.0636926434677003
Cell Phones and Accessories,Normal Predictor,,1.5769795745118578,1.1976973367754091
CDs and Vinyl,Normal Predictor,,1.3746908576167514,1.0196238136061895
Books,Normal Predictor,,1.3629971977208895,1.0256110623240475
