category,predictor,nfactors,rmse,mae
Video Games,SVD-15,15,1.0614495431548143,0.795752255105807
Toys and Games,SVD-15,15,0.8992367550058196,0.6446207685483714
Sports and Outdoors,SVD-15,15,0.9390727004798023,0.6656754958922947
Movies and TV,SVD-15,15,1.0174166229389616,0.745635669297518
Kindle Store,SVD-15,15,0.7866720798031227,0.5501661029383037
Home and Kitchen,SVD-15,15,1.052410181783571,0.7561660009923673
Health and Personal Care,SVD-15,15,1.0387753988444162,0.7539940333729436
Electronics,SVD-15,15,1.1056692404902957,0.8082492503458406
Clothing Shoes and Jewelry,SVD-15,15,1.057840396093029,0.7955251484791674
Cell Phones and Accessories,SVD-15,15,1.1664362380596731,0.8828481600828587
CDs and Vinyl,SVD-15,15,0.9351644779943814,0.6733340740997643
Books,SVD-15,15,0.9206102046434558,0.6685566353840133
