category,predictor,nfactors,k,recall,precision
Books,Normal Predictor,,0,0.02897929614792872,1.0
Books,Normal Predictor,,1,0.4398109653996919,0.9088948023397182
Books,Normal Predictor,,2,0.6524498604948639,0.9088176963602391
Books,Normal Predictor,,3,0.7510957308359918,0.9088335359606745
Books,Normal Predictor,,4,0.7973440934294891,0.9087888563330309
Books,Normal Predictor,,5,0.8218905637512862,0.9088205953059794
Books,Normal Predictor,,6,0.8365393914281517,0.9088069672723968
Books,Normal Predictor,,7,0.8460760866657131,0.9088104255140014
Books,Normal Predictor,,8,0.8527620588448468,0.9088107777423128
Books,Normal Predictor,,9,0.8576541312432656,0.9088234045936037
Books,Normal Predictor,,10,0.8613808223357315,0.90882555638838
Books,Normal Predictor,,11,0.8643189351275857,0.9088361686489805
Books,Normal Predictor,,12,0.8666746493559487,0.9088369293845076
Books,Normal Predictor,,13,0.8686081570369106,0.9088437227109641
Books,Normal Predictor,,14,0.8702160416687296,0.9088492007233061
Books,Normal Predictor,,15,0.8715661912684944,0.9088454009269759
Books,Normal Predictor,,16,0.8727213273580277,0.9088428157846403
Books,Normal Predictor,,17,0.8737192151057246,0.9088426905269787
Books,Normal Predictor,,18,0.8746007113767672,0.9088499979564062
Books,Normal Predictor,,19,0.8753703413413125,0.9088458978016428
Books,Normal Predictor,,20,0.8760589977264096,0.9088507204644969
Books,Normal Predictor,,21,0.8766722029987064,0.9088535084049504
Books,Normal Predictor,,22,0.8772197636962271,0.9088534036097501
Books,Normal Predictor,,23,0.8777128461279583,0.9088517663745941
Books,Normal Predictor,,24,0.8781615462822027,0.9088508308116485
Books,Normal Predictor,,25,0.8785695799147383,0.9088517632560511
Books,Normal Predictor,,26,0.8789389100572521,0.9088498073297737
Books,Normal Predictor,,27,0.8792760743208782,0.9088521956584964
Books,Normal Predictor,,28,0.8795856256163892,0.9088536045717428
Books,Normal Predictor,,29,0.879871077907636,0.9088543421532858
Books,Normal Predictor,,30,0.8801363958114887,0.9088540618428548
Books,Normal Predictor,,31,0.8803775748471073,0.9088504755182278
Books,Normal Predictor,,32,0.8806022469084313,0.9088511804913142
Books,Normal Predictor,,33,0.8808098792640466,0.9088542777716744
Books,Normal Predictor,,34,0.8810014694799003,0.9088546629339895
Books,Normal Predictor,,35,0.8811789584557042,0.9088538175860419
Books,Normal Predictor,,36,0.8813459238613192,0.9088546373173852
Books,Normal Predictor,,37,0.8815021898411423,0.9088543626889226
Books,Normal Predictor,,38,0.8816479326350141,0.9088536114993049
Books,Normal Predictor,,39,0.8817850033076395,0.9088545830980482
Books,Normal Predictor,,40,0.8819124020287016,0.9088545968916046
Books,Normal Predictor,,41,0.8820330369681255,0.9088554945661529
Books,Normal Predictor,,42,0.8821455540323087,0.9088555924507392
Books,Normal Predictor,,43,0.882250937291523,0.9088556043654389
Books,Normal Predictor,,44,0.8823507013843974,0.908854817724466
Books,Normal Predictor,,45,0.8824443746536161,0.9088545206753554
Books,Normal Predictor,,46,0.8825326124337356,0.9088541646416792
Books,Normal Predictor,,47,0.8826167971473431,0.9088550114588492
Books,Normal Predictor,,48,0.8826961879882059,0.9088552165279434
Books,Normal Predictor,,49,0.8827709161072171,0.9088552104287522
Books,Normal Predictor,,50,0.8828418469730016,0.9088546307615881
Books,Normal Predictor,,51,0.8829092903150005,0.9088542475170935
Books,Normal Predictor,,52,0.8829729329473558,0.9088537376964356
Books,Normal Predictor,,53,0.8830338184272737,0.908854337586005
Books,Normal Predictor,,54,0.8830914990686385,0.908854253002877
Books,Normal Predictor,,55,0.8831457021554026,0.9088541334587228
Books,Normal Predictor,,56,0.8831969029995669,0.908853349823504
Books,Normal Predictor,,57,0.8832460827111189,0.9088525217779992
Books,Normal Predictor,,58,0.8832938142190774,0.908852514184451
Books,Normal Predictor,,59,0.8833394981839727,0.908852221262845
Books,Normal Predictor,,60,0.8833829961810608,0.9088519603931873
Books,Normal Predictor,,61,0.8834249229185235,0.9088520970850681
Books,Normal Predictor,,62,0.8834649830813014,0.90885215255836
Books,Normal Predictor,,63,0.8835037296306236,0.9088525019174285
Books,Normal Predictor,,64,0.8835409137422827,0.9088526313346488
Books,Normal Predictor,,65,0.8835758891700737,0.9088525334866095
Books,Normal Predictor,,66,0.8836091429265843,0.908852220414681
Books,Normal Predictor,,67,0.8836412056706683,0.9088523140873389
Books,Normal Predictor,,68,0.8836714381904418,0.9088519610437493
Books,Normal Predictor,,69,0.883701097069115,0.9088520168412126
Books,Normal Predictor,,70,0.8837293652416208,0.9088517335735427
Books,Normal Predictor,,71,0.8837568472728837,0.9088517555821749
Books,Normal Predictor,,72,0.8837833163635349,0.9088518117061911
Books,Normal Predictor,,73,0.8838087689597967,0.9088519952528661
Books,Normal Predictor,,74,0.8838330285323373,0.9088519627223391
Books,Normal Predictor,,75,0.883856487945301,0.9088518832416308
Books,Normal Predictor,,76,0.8838794655423177,0.9088521956293816
Books,Normal Predictor,,77,0.8839011631358841,0.9088519339478
Books,Normal Predictor,,78,0.883922373810289,0.9088519217067654
Books,Normal Predictor,,79,0.8839425023115774,0.9088513219489709
Books,Normal Predictor,,80,0.8839624278292132,0.9088511329859802
Books,Normal Predictor,,81,0.883981854653242,0.9088512279018248
Books,Normal Predictor,,82,0.8840005747867536,0.9088513439903215
Books,Normal Predictor,,83,0.8840186839788103,0.9088515444893691
Books,Normal Predictor,,84,0.8840361440337753,0.9088516597126508
Books,Normal Predictor,,85,0.884052714572345,0.9088514575423899
Books,Normal Predictor,,86,0.8840688358200657,0.9088514116707961
Books,Normal Predictor,,87,0.8840846784554388,0.9088515808732275
Books,Normal Predictor,,88,0.884099950785671,0.9088518155582638
Books,Normal Predictor,,89,0.8841146144255461,0.9088518979814549
Books,Normal Predictor,,90,0.8841286331793663,0.9088519973777185
Books,Normal Predictor,,91,0.8841422825785777,0.908852135094335
Books,Normal Predictor,,92,0.8841551783501317,0.90885191791008
