category,predictor,nfactors,k,recall,precision
CDs and Vinyl,Normal Predictor,,0,0.025164476051998907,1.0
CDs and Vinyl,Normal Predictor,,65,0.8880090799970363,0.9169530046594492
CDs and Vinyl,Normal Predictor,,130,0.8888995756244309,0.9169530374197125
CDs and Vinyl,Normal Predictor,,195,0.8890971079282634,0.9169539915361
CDs and Vinyl,Normal Predictor,,5,0.82588025465651,0.9169579488360712
CDs and Vinyl,Normal Predictor,,70,0.8881612109723304,0.9169512995460175
CDs and Vinyl,Normal Predictor,,135,0.8889246876309526,0.9169524093224364
CDs and Vinyl,Normal Predictor,,200,0.8891046737632808,0.9169541355424926
CDs and Vinyl,Normal Predictor,,10,0.866309110789695,0.9169456949674476
CDs and Vinyl,Normal Predictor,,75,0.8882895991363763,0.9169533280757578
CDs and Vinyl,Normal Predictor,,140,0.8889484421107277,0.9169528615212327
CDs and Vinyl,Normal Predictor,,15,0.876618529086101,0.9169531006210245
CDs and Vinyl,Normal Predictor,,80,0.8883947302831743,0.9169520615875059
CDs and Vinyl,Normal Predictor,,145,0.8889699122141798,0.9169528792504857
CDs and Vinyl,Normal Predictor,,20,0.8810382461941099,0.9169530683695802
CDs and Vinyl,Normal Predictor,,85,0.8884854727692012,0.9169514842100924
CDs and Vinyl,Normal Predictor,,150,0.8889900426184291,0.9169534967105681
CDs and Vinyl,Normal Predictor,,25,0.883374682564968,0.9169381029544488
CDs and Vinyl,Normal Predictor,,90,0.8885639467900578,0.9169516747923656
CDs and Vinyl,Normal Predictor,,155,0.8890077743451072,0.9169537859147436
CDs and Vinyl,Normal Predictor,,30,0.8848406730917602,0.9169495543506164
CDs and Vinyl,Normal Predictor,,95,0.8886273293965941,0.9169514889948552
CDs and Vinyl,Normal Predictor,,160,0.8890235921172776,0.9169541775879236
CDs and Vinyl,Normal Predictor,,35,0.8857830122979273,0.9169457975127027
CDs and Vinyl,Normal Predictor,,100,0.888682872309526,0.9169516915439512
CDs and Vinyl,Normal Predictor,,165,0.889037273202516,0.9169545668890277
CDs and Vinyl,Normal Predictor,,40,0.8864340678270104,0.9169433185033574
CDs and Vinyl,Normal Predictor,,105,0.8887314610739593,0.916951745942831
CDs and Vinyl,Normal Predictor,,170,0.8890494350791385,0.9169545091040684
CDs and Vinyl,Normal Predictor,,45,0.8869197094360508,0.9169446437654123
CDs and Vinyl,Normal Predictor,,110,0.8887734486079502,0.9169520376691781
CDs and Vinyl,Normal Predictor,,175,0.8890605610549314,0.9169542366932035
CDs and Vinyl,Normal Predictor,,50,0.8872963954493068,0.916948495154528
CDs and Vinyl,Normal Predictor,,115,0.8888099456207806,0.9169525432744509
CDs and Vinyl,Normal Predictor,,180,0.889070703106505,0.9169540461309597
CDs and Vinyl,Normal Predictor,,55,0.8875881631289516,0.9169500177238882
CDs and Vinyl,Normal Predictor,,120,0.8888411779244609,0.9169521035534021
CDs and Vinyl,Normal Predictor,,185,0.889080218671403,0.9169539559707811
CDs and Vinyl,Normal Predictor,,60,0.8878174296685357,0.9169476874216184
CDs and Vinyl,Normal Predictor,,125,0.8888712441997924,0.9169522904648553
CDs and Vinyl,Normal Predictor,,190,0.8890887857359396,0.9169539857076978
