category,predictor,nfactors,k,recall,precision
Cell Phones and Accessories,Normal Predictor,,0,0.05490005271053805,1.0
Cell Phones and Accessories,Normal Predictor,,1,0.5310551769122535,0.8781981105299437
Cell Phones and Accessories,Normal Predictor,,2,0.7330621732391045,0.878056197542878
Cell Phones and Accessories,Normal Predictor,,3,0.8003460675183186,0.8782048682912326
Cell Phones and Accessories,Normal Predictor,,4,0.8195745895206547,0.8781170173944776
Cell Phones and Accessories,Normal Predictor,,5,0.826001948673172,0.8781960832015568
Cell Phones and Accessories,Normal Predictor,,6,0.8284159202032518,0.8781839192312372
Cell Phones and Accessories,Normal Predictor,,7,0.8295074339670105,0.8781694383141897
Cell Phones and Accessories,Normal Predictor,,8,0.8300487216027547,0.878143372663504
Cell Phones and Accessories,Normal Predictor,,9,0.8303524476002557,0.878142246369956
Cell Phones and Accessories,Normal Predictor,,10,0.8305337024533577,0.878130082399636
Cell Phones and Accessories,Normal Predictor,,11,0.8306657072780429,0.8781363486873764
Cell Phones and Accessories,Normal Predictor,,12,0.8307650128530845,0.8781369630293119
Cell Phones and Accessories,Normal Predictor,,13,0.8308460000680609,0.8781343638903546
Cell Phones and Accessories,Normal Predictor,,14,0.8309124108391944,0.8781365917237465
Cell Phones and Accessories,Normal Predictor,,15,0.8309665124186673,0.8781354332503829
Cell Phones and Accessories,Normal Predictor,,16,0.8310070702356506,0.8781361090265116
Cell Phones and Accessories,Normal Predictor,,17,0.8310372583436539,0.8781341711390832
Cell Phones and Accessories,Normal Predictor,,18,0.8310668705060924,0.8781324485724802
Cell Phones and Accessories,Normal Predictor,,19,0.8310894904061885,0.8781307887714619
Cell Phones and Accessories,Normal Predictor,,20,0.8311095915043497,0.878131215577438
Cell Phones and Accessories,Normal Predictor,,21,0.8311296926025107,0.878131601735226
Cell Phones and Accessories,Normal Predictor,,22,0.8311452945818208,0.8781300219988207
Cell Phones and Accessories,Normal Predictor,,23,0.831162204514929,0.878130342525048
Cell Phones and Accessories,Normal Predictor,,24,0.831177612723306,0.8781306363407562
Cell Phones and Accessories,Normal Predictor,,25,0.8311902712219175,0.8781308390735948
Cell Phones and Accessories,Normal Predictor,,26,0.8312016626402872,0.8781309638322647
Cell Phones and Accessories,Normal Predictor,,27,0.8312119277651088,0.8781310793495517
Cell Phones and Accessories,Normal Predictor,,28,0.8312221928899304,0.878131186615604
Cell Phones and Accessories,Normal Predictor,,29,0.831231150060954,0.878131186615604
Cell Phones and Accessories,Normal Predictor,,30,0.8312401072319778,0.878131186615604
Cell Phones and Accessories,Normal Predictor,,31,0.8312481214595658,0.878131186615604
Cell Phones and Accessories,Normal Predictor,,32,0.8312551220229606,0.8781299195353622
Cell Phones and Accessories,Normal Predictor,,33,0.8312608478512569,0.8781299579317332
Cell Phones and Accessories,Normal Predictor,,34,0.8312654778263712,0.8781299940694941
Cell Phones and Accessories,Normal Predictor,,35,0.8312691648580498,0.8781300281422402
Cell Phones and Accessories,Normal Predictor,,36,0.8312718382255354,0.8781300281422402
Cell Phones and Accessories,Normal Predictor,,37,0.8312745115930206,0.8781300281422402
Cell Phones and Accessories,Normal Predictor,,38,0.8312752766226005,0.8781300281422402
Cell Phones and Accessories,Normal Predictor,,39,0.8312760416521804,0.8781300281422402
Cell Phones and Accessories,Normal Predictor,,40,0.8312768066817602,0.8781300281422402
