category,predictor,nfactors,k,recall,precision
Clothing Shoes and Jewelry,Normal Predictor,,0,0.03636415574028051,1.0
Clothing Shoes and Jewelry,Normal Predictor,,1,0.5380673982854465,0.9096466421001514
Clothing Shoes and Jewelry,Normal Predictor,,2,0.7574533786978471,0.9087468220641586
Clothing Shoes and Jewelry,Normal Predictor,,3,0.835221168890387,0.9088563239733006
Clothing Shoes and Jewelry,Normal Predictor,,4,0.8601552960770127,0.9088967920701574
Clothing Shoes and Jewelry,Normal Predictor,,5,0.8686384439737606,0.9088667980689578
Clothing Shoes and Jewelry,Normal Predictor,,6,0.87193974456141,0.9089086944515858
Clothing Shoes and Jewelry,Normal Predictor,,7,0.8733380374722064,0.9089358998948509
Clothing Shoes and Jewelry,Normal Predictor,,8,0.8740642656208614,0.9089726272432588
Clothing Shoes and Jewelry,Normal Predictor,,9,0.8744222529793975,0.9089674695446399
Clothing Shoes and Jewelry,Normal Predictor,,10,0.8746264889972769,0.9089614390047162
Clothing Shoes and Jewelry,Normal Predictor,,11,0.874757669918106,0.9089624777580044
Clothing Shoes and Jewelry,Normal Predictor,,12,0.874842127684653,0.908957933212368
Clothing Shoes and Jewelry,Normal Predictor,,13,0.8749063628823104,0.908959581234412
Clothing Shoes and Jewelry,Normal Predictor,,14,0.8749433826090555,0.9089594242799317
Clothing Shoes and Jewelry,Normal Predictor,,15,0.8749716276570856,0.9089636411236377
Clothing Shoes and Jewelry,Normal Predictor,,16,0.8749868540193657,0.9089643552665234
Clothing Shoes and Jewelry,Normal Predictor,,17,0.874999967801066,0.908966560707788
Clothing Shoes and Jewelry,Normal Predictor,,18,0.8750054542321244,0.9089662806517544
Clothing Shoes and Jewelry,Normal Predictor,,19,0.8750124441218896,0.90896753353401
Clothing Shoes and Jewelry,Normal Predictor,,20,0.875016169358463,0.9089681349174927
Clothing Shoes and Jewelry,Normal Predictor,,21,0.8750183911363296,0.9089673187541948
Clothing Shoes and Jewelry,Normal Predictor,,22,0.8750206129141964,0.9089665767875604
Clothing Shoes and Jewelry,Normal Predictor,,23,0.8750227511665792,0.9089669155114587
Clothing Shoes and Jewelry,Normal Predictor,,24,0.8750233859602554,0.9089669155114587
Clothing Shoes and Jewelry,Normal Predictor,,25,0.8750240207539316,0.9089669155114587
Clothing Shoes and Jewelry,Normal Predictor,,26,0.8750246555476079,0.9089669155114587
Clothing Shoes and Jewelry,Normal Predictor,,27,0.8750252903412841,0.9089669155114587
