category,predictor,nfactors,k,recall,precision
Electronics,Normal Predictor,,0,0.04328278507323852,1.0
Electronics,Normal Predictor,,65,0.8557087126359882,0.8867155242708437
Electronics,Normal Predictor,,130,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,195,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,5,0.8368687358355906,0.8867161048173008
Electronics,Normal Predictor,,70,0.8557114385048401,0.8867156045593366
Electronics,Normal Predictor,,135,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,200,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,10,0.85240519529364,0.8867260005590649
Electronics,Normal Predictor,,75,0.8557130771349765,0.88671556855825
Electronics,Normal Predictor,,140,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,15,0.8545144803838085,0.8867106394686395
Electronics,Normal Predictor,,80,0.8557143041763213,0.886715523730781
Electronics,Normal Predictor,,145,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,20,0.8551678105153196,0.8867187917177125
Electronics,Normal Predictor,,85,0.8557155326405487,0.8867155490628933
Electronics,Normal Predictor,,150,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,25,0.855422806565373,0.8867169031655803
Electronics,Normal Predictor,,90,0.8557167045296851,0.8867155077809324
Electronics,Normal Predictor,,155,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,30,0.8555395570700306,0.8867179244804995
Electronics,Normal Predictor,,95,0.8557178527328723,0.8867154708444409
Electronics,Normal Predictor,,160,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,35,0.8556010665447923,0.8867160349437525
Electronics,Normal Predictor,,100,0.8557190602042091,0.886715547220558
Electronics,Normal Predictor,,165,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,40,0.855643388021457,0.8867155628528678
Electronics,Normal Predictor,,105,0.8557199094811443,0.8867155301840164
Electronics,Normal Predictor,,170,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,45,0.855668618845636,0.8867156183369005
Electronics,Normal Predictor,,110,0.8557203617149902,0.8867155450981605
Electronics,Normal Predictor,,175,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,50,0.8556857524138941,0.8867157837445898
Electronics,Normal Predictor,,115,0.8557205842710169,0.8867155541763352
Electronics,Normal Predictor,,180,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,55,0.8556966450033188,0.886715328128982
Electronics,Normal Predictor,,120,0.8557208068270434,0.8867155624979953
Electronics,Normal Predictor,,185,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,60,0.8557033669558943,0.8867153022542947
Electronics,Normal Predictor,,125,0.8557208513382489,0.8867155640797986
Electronics,Normal Predictor,,190,0.8557208513382489,0.8867155640797986
