category,predictor,nfactors,k,recall,precision
Health and Personal Care,Normal Predictor,,0,0.03600941122460691,1.0
Health and Personal Care,Normal Predictor,,65,0.8759267431708494,0.9027590390032917
Health and Personal Care,Normal Predictor,,130,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,195,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,5,0.8523555258356356,0.9028855350242931
Health and Personal Care,Normal Predictor,,70,0.8759299670762367,0.9027591335948014
Health and Personal Care,Normal Predictor,,135,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,200,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,10,0.8708013327021916,0.9027920330686312
Health and Personal Care,Normal Predictor,,75,0.8759328685910854,0.902758833004004
Health and Personal Care,Normal Predictor,,140,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,15,0.8740108789899884,0.9027696105812139
Health and Personal Care,Normal Predictor,,80,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,145,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,20,0.8750065711089865,0.9027689364445205
Health and Personal Care,Normal Predictor,,85,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,150,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,25,0.8754602468455214,0.9027690418079136
Health and Personal Care,Normal Predictor,,90,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,155,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,30,0.8756622413410288,0.9027686353946264
Health and Personal Care,Normal Predictor,,95,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,160,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,35,0.8757681480240028,0.9027632203427637
Health and Personal Care,Normal Predictor,,100,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,165,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,40,0.8758430787333057,0.9027621884513547
Health and Personal Care,Normal Predictor,,105,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,170,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,45,0.875882360999259,0.9027594085651427
Health and Personal Care,Normal Predictor,,110,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,175,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,50,0.8759007462648202,0.9027605922580971
Health and Personal Care,Normal Predictor,,115,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,180,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,55,0.8759129513803618,0.9027590697063622
Health and Personal Care,Normal Predictor,,120,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,185,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,60,0.8759215267128269,0.9027588987582409
Health and Personal Care,Normal Predictor,,125,0.8759341581532405,0.9027588727515474
Health and Personal Care,Normal Predictor,,190,0.8759341581532405,0.9027588727515474
