category,predictor,nfactors,k,recall,precision
Home and Kitchen,Normal Predictor,,0,0.035073382254836555,1.0
Home and Kitchen,Normal Predictor,,1,0.5096185113536111,0.9040860573715811
Home and Kitchen,Normal Predictor,,2,0.7353411696271445,0.9051117411607739
Home and Kitchen,Normal Predictor,,3,0.8229689013219809,0.9053146542139203
Home and Kitchen,Normal Predictor,,4,0.8560597176103384,0.9054091616633312
Home and Kitchen,Normal Predictor,,5,0.8697087956554493,0.9054767066933512
Home and Kitchen,Normal Predictor,,6,0.8763523941742877,0.9054255614854348
Home and Kitchen,Normal Predictor,,7,0.880029569189535,0.9054386654595126
Home and Kitchen,Normal Predictor,,8,0.8821959946499026,0.9053919080974618
Home and Kitchen,Normal Predictor,,9,0.8835860920913725,0.9053712925018796
Home and Kitchen,Normal Predictor,,10,0.8845112336571778,0.9053783342334043
Home and Kitchen,Normal Predictor,,11,0.8851139044033685,0.9053690856434353
Home and Kitchen,Normal Predictor,,12,0.88556089841778,0.9053743922114504
Home and Kitchen,Normal Predictor,,13,0.8858927593205486,0.9053692605852378
Home and Kitchen,Normal Predictor,,14,0.8861474362209034,0.9053720096707089
Home and Kitchen,Normal Predictor,,15,0.8863502224051794,0.9053770130062658
Home and Kitchen,Normal Predictor,,16,0.8865016760960841,0.9053827807403108
Home and Kitchen,Normal Predictor,,17,0.886617669391641,0.9053817383787363
Home and Kitchen,Normal Predictor,,18,0.8867243401001628,0.905382719424924
Home and Kitchen,Normal Predictor,,19,0.886801486787316,0.9053804762140506
Home and Kitchen,Normal Predictor,,20,0.886861997361576,0.9053807834364094
Home and Kitchen,Normal Predictor,,21,0.886907002701635,0.9053809422724587
Home and Kitchen,Normal Predictor,,22,0.8869449324146573,0.9053770796685294
Home and Kitchen,Normal Predictor,,23,0.8869778450040311,0.9053763545474341
Home and Kitchen,Normal Predictor,,24,0.8870048179527196,0.9053761128404024
Home and Kitchen,Normal Predictor,,25,0.8870284916015531,0.9053756125068467
Home and Kitchen,Normal Predictor,,26,0.8870503871250636,0.9053749967117012
Home and Kitchen,Normal Predictor,,27,0.8870682778961652,0.9053747828939425
Home and Kitchen,Normal Predictor,,28,0.8870837672640441,0.9053751138023788
Home and Kitchen,Normal Predictor,,29,0.8870955156490352,0.9053746414020594
Home and Kitchen,Normal Predictor,,30,0.88710602289269,0.9053752356679682
Home and Kitchen,Normal Predictor,,31,0.887116039613251,0.9053757915941413
Home and Kitchen,Normal Predictor,,32,0.8871236963019222,0.9053756739081571
Home and Kitchen,Normal Predictor,,33,0.8871303888595735,0.9053760213620152
Home and Kitchen,Normal Predictor,,34,0.8871361520050469,0.9053763335130749
Home and Kitchen,Normal Predictor,,35,0.8871414762614367,0.9053766138119858
Home and Kitchen,Normal Predictor,,36,0.8871455481566672,0.9053768388297224
Home and Kitchen,Normal Predictor,,37,0.8871492031072682,0.9053770516843382
Home and Kitchen,Normal Predictor,,38,0.8871520027868335,0.9053772296123452
Home and Kitchen,Normal Predictor,,39,0.8871544053762753,0.9053773871622729
Home and Kitchen,Normal Predictor,,40,0.8871568079657172,0.9053775368347039
Home and Kitchen,Normal Predictor,,41,0.8871592105551591,0.9053776792060408
Home and Kitchen,Normal Predictor,,42,0.887161286129205,0.905377417707667
Home and Kitchen,Normal Predictor,,43,0.8871633181011982,0.9053775469928234
Home and Kitchen,Normal Predictor,,44,0.8871649529830677,0.9053776351417937
Home and Kitchen,Normal Predictor,,45,0.8871665878649375,0.9053777193730321
Home and Kitchen,Normal Predictor,,46,0.8871676474797592,0.9053774293245939
Home and Kitchen,Normal Predictor,,47,0.8871689996873035,0.905377506465136
Home and Kitchen,Normal Predictor,,48,0.8871703518948479,0.9053775803914889
Home and Kitchen,Normal Predictor,,49,0.8871714062847997,0.9053776513004396
Home and Kitchen,Normal Predictor,,50,0.8871724606747513,0.9053777193730321
Home and Kitchen,Normal Predictor,,51,0.8871732224719804,0.9053774577607153
Home and Kitchen,Normal Predictor,,52,0.8871739498465362,0.9053775017820187
Home and Kitchen,Normal Predictor,,53,0.887174677221092,0.9053775441421407
Home and Kitchen,Normal Predictor,,54,0.887175159334101,0.9053772760854953
Home and Kitchen,Normal Predictor,,55,0.8871758867086567,0.9053773210088224
Home and Kitchen,Normal Predictor,,56,0.8871766140832126,0.9053773643277451
Home and Kitchen,Normal Predictor,,57,0.8871773414577683,0.9053774061267055
Home and Kitchen,Normal Predictor,,58,0.8871780688323242,0.9053774464843223
Home and Kitchen,Normal Predictor,,59,0.8871787962068799,0.9053774854738844
Home and Kitchen,Normal Predictor,,60,0.8871792309887132,0.9053775043188395
Home and Kitchen,Normal Predictor,,61,0.8871796657705462,0.9053775225459271
Home and Kitchen,Normal Predictor,,62,0.8871798552908325,0.9053775269557064
Home and Kitchen,Normal Predictor,,63,0.8871800448111187,0.9053775312254927
Home and Kitchen,Normal Predictor,,64,0.887180234331405,0.9053775353618481
Home and Kitchen,Normal Predictor,,65,0.8871804238516913,0.9053775393709311
Home and Kitchen,Normal Predictor,,66,0.8871806133719775,0.9053775432585267
Home and Kitchen,Normal Predictor,,67,0.8871808028922638,0.9053775470300747
Home and Kitchen,Normal Predictor,,68,0.88718099241255,0.9053775506906947
Home and Kitchen,Normal Predictor,,69,0.8871811819328362,0.9053775542452099
Home and Kitchen,Normal Predictor,,70,0.8871813714531225,0.9053775576981675
Home and Kitchen,Normal Predictor,,71,0.8871815609734088,0.9053775610538588
Home and Kitchen,Normal Predictor,,72,0.887181750493695,0.9053775643163363
Home and Kitchen,Normal Predictor,,73,0.8871819400139813,0.9053775674894309
Home and Kitchen,Normal Predictor,,74,0.8871821295342674,0.9053775705767662
Home and Kitchen,Normal Predictor,,75,0.8871823190545538,0.9053775735817725
Home and Kitchen,Normal Predictor,,76,0.88718250857484,0.9053775765076997
Home and Kitchen,Normal Predictor,,77,0.8871826980951263,0.9053775793576289
Home and Kitchen,Normal Predictor,,78,0.8871828876154125,0.9053775821344828
Home and Kitchen,Normal Predictor,,79,0.8871830771356987,0.9053775848410368
Home and Kitchen,Normal Predictor,,80,0.887183266655985,0.9053775874799268
Home and Kitchen,Normal Predictor,,81,0.8871834561762713,0.905377590053659
Home and Kitchen,Normal Predictor,,82,0.8871836456965575,0.9053775925646174
Home and Kitchen,Normal Predictor,,83,0.8871838352168437,0.9053775950150708
Home and Kitchen,Normal Predictor,,84,0.8871838352168437,0.9053775950150708
Home and Kitchen,Normal Predictor,,85,0.8871838352168437,0.9053775950150708
Home and Kitchen,Normal Predictor,,86,0.8871838352168437,0.9053775950150708
Home and Kitchen,Normal Predictor,,87,0.8871838352168437,0.9053775950150708
