category,predictor,nfactors,k,recall,precision
Kindle Store,Normal Predictor,,0,0.02309106469301721,1.0
Kindle Store,Normal Predictor,,1,0.43523991441656995,0.9294113918032267
Kindle Store,Normal Predictor,,2,0.6544858336507937,0.9301721132207043
Kindle Store,Normal Predictor,,3,0.7615504163596278,0.9300955128001943
Kindle Store,Normal Predictor,,4,0.8145865124688693,0.9299766500787136
Kindle Store,Normal Predictor,,5,0.8442507468409236,0.9298403541580821
Kindle Store,Normal Predictor,,6,0.8628682284241276,0.9297479053747081
Kindle Store,Normal Predictor,,7,0.8754347157428339,0.9297675271573017
Kindle Store,Normal Predictor,,8,0.8842819860292602,0.9298040349931852
Kindle Store,Normal Predictor,,9,0.8908150182696994,0.9298082172000521
Kindle Store,Normal Predictor,,10,0.895804690461994,0.9297969472531264
Kindle Store,Normal Predictor,,11,0.8998089124480091,0.9298047273585326
Kindle Store,Normal Predictor,,12,0.9029758535442567,0.9298175741375209
Kindle Store,Normal Predictor,,13,0.905549180092624,0.9298137136388746
Kindle Store,Normal Predictor,,14,0.9076403255563011,0.9297946433560875
Kindle Store,Normal Predictor,,15,0.9094364683420239,0.929797133813109
Kindle Store,Normal Predictor,,16,0.9109197358545793,0.9297979262312521
Kindle Store,Normal Predictor,,17,0.9121602494912,0.9297906429762592
Kindle Store,Normal Predictor,,18,0.9132327624043824,0.9297912644806855
Kindle Store,Normal Predictor,,19,0.914166508302566,0.9297953424220073
Kindle Store,Normal Predictor,,20,0.91495358382392,0.9297974277329105
Kindle Store,Normal Predictor,,21,0.9156386196534632,0.9297991635059859
Kindle Store,Normal Predictor,,22,0.9162367419644464,0.9298025252799269
Kindle Store,Normal Predictor,,23,0.9167703459524711,0.9298128298478763
Kindle Store,Normal Predictor,,24,0.9172400946951296,0.9298145237852112
Kindle Store,Normal Predictor,,25,0.9176541449675418,0.9298111692150717
Kindle Store,Normal Predictor,,26,0.9180272879639433,0.9298078776320153
Kindle Store,Normal Predictor,,27,0.9183676947374291,0.9298052136621892
Kindle Store,Normal Predictor,,28,0.918677438584753,0.9298062408708933
Kindle Store,Normal Predictor,,29,0.9189616374059322,0.9298079193920833
Kindle Store,Normal Predictor,,30,0.9192128821329701,0.929804603987438
Kindle Store,Normal Predictor,,31,0.9194391955572849,0.9298008719536025
Kindle Store,Normal Predictor,,32,0.9196472814786626,0.9297983477183882
Kindle Store,Normal Predictor,,33,0.9198449053473533,0.9298012292389091
Kindle Store,Normal Predictor,,34,0.9200230214113303,0.9298032208780923
Kindle Store,Normal Predictor,,35,0.9201836847076036,0.9298011432775823
Kindle Store,Normal Predictor,,36,0.9203316421154051,0.9297993320361123
Kindle Store,Normal Predictor,,37,0.9204705563741347,0.929800926390935
Kindle Store,Normal Predictor,,38,0.920594502624544,0.929798243666638
Kindle Store,Normal Predictor,,39,0.9207108495375045,0.9297973346849622
Kindle Store,Normal Predictor,,40,0.9208196221615453,0.9297946120174958
Kindle Store,Normal Predictor,,41,0.920920216701674,0.9297930175175734
Kindle Store,Normal Predictor,,42,0.9210152400267697,0.9297927506171535
Kindle Store,Normal Predictor,,43,0.9211021345285801,0.9297925663338644
Kindle Store,Normal Predictor,,44,0.9211838866176435,0.9297936552805729
Kindle Store,Normal Predictor,,45,0.921258309920172,0.9297924466427989
Kindle Store,Normal Predictor,,46,0.9213306459049324,0.9297928524221379
Kindle Store,Normal Predictor,,47,0.9213969001489639,0.929793314238447
Kindle Store,Normal Predictor,,48,0.9214578043138674,0.9297936163127393
Kindle Store,Normal Predictor,,49,0.921514707349814,0.9297925584075651
Kindle Store,Normal Predictor,,50,0.9215676001544744,0.9297932958415923
Kindle Store,Normal Predictor,,51,0.9216154474522666,0.9297922703592894
Kindle Store,Normal Predictor,,52,0.9216606470774612,0.9297920014391048
Kindle Store,Normal Predictor,,53,0.9217038608379007,0.929791345882731
Kindle Store,Normal Predictor,,54,0.9217432513430928,0.9297917445836835
