category,predictor,nfactors,k,recall,precision
Movies and TV,Normal Predictor,,0,0.03658944183510124,1.0
Movies and TV,Normal Predictor,,1,0.44274870144432005,0.8894488715323587
Movies and TV,Normal Predictor,,2,0.6399544423704729,0.8897655109328548
Movies and TV,Normal Predictor,,3,0.7252215476434763,0.8899546150192622
Movies and TV,Normal Predictor,,4,0.7634201716090044,0.8899003758626958
Movies and TV,Normal Predictor,,5,0.7828977960488753,0.8900028438909118
Movies and TV,Normal Predictor,,6,0.7942365244517283,0.8900453556622746
Movies and TV,Normal Predictor,,7,0.8014176713865645,0.8900089170011066
Movies and TV,Normal Predictor,,8,0.8064234336522392,0.8899815880052305
Movies and TV,Normal Predictor,,9,0.8100102695215948,0.8899867187362569
Movies and TV,Normal Predictor,,10,0.8126999048909456,0.8899882823876175
Movies and TV,Normal Predictor,,11,0.8148268670000862,0.8900004362231921
Movies and TV,Normal Predictor,,12,0.8165190269665734,0.8900045008282909
Movies and TV,Normal Predictor,,13,0.8178712295616106,0.8899937883129608
Movies and TV,Normal Predictor,,14,0.8189954644912835,0.889992870097361
Movies and TV,Normal Predictor,,15,0.8199284668975185,0.8899822735671592
Movies and TV,Normal Predictor,,16,0.8207415960504885,0.8899906659771954
Movies and TV,Normal Predictor,,17,0.8214254744243721,0.8899870766212464
Movies and TV,Normal Predictor,,18,0.822017002973379,0.8899816153389213
Movies and TV,Normal Predictor,,19,0.822532389531558,0.8899883791597732
Movies and TV,Normal Predictor,,20,0.8229691446603195,0.88997773192847
Movies and TV,Normal Predictor,,21,0.8233612606470714,0.8899726640227213
Movies and TV,Normal Predictor,,22,0.8237153926434743,0.8899782040699524
Movies and TV,Normal Predictor,,23,0.8240366863054186,0.8899809331205604
Movies and TV,Normal Predictor,,24,0.8243323189715561,0.8899899517347252
Movies and TV,Normal Predictor,,25,0.8245951320205624,0.8899879873977035
Movies and TV,Normal Predictor,,26,0.8248280842720612,0.8899865530482824
Movies and TV,Normal Predictor,,27,0.8250407899356671,0.8899883196736176
Movies and TV,Normal Predictor,,28,0.8252379546849062,0.8899900299172931
Movies and TV,Normal Predictor,,29,0.82541953629765,0.8899885784367352
Movies and TV,Normal Predictor,,30,0.8255910775598834,0.8899938860895211
Movies and TV,Normal Predictor,,31,0.8257452211482207,0.8899931294840243
Movies and TV,Normal Predictor,,32,0.8258921052585823,0.8899962593481702
Movies and TV,Normal Predictor,,33,0.8260338051863794,0.8899997742320879
Movies and TV,Normal Predictor,,34,0.8261577826594755,0.8899975165536527
Movies and TV,Normal Predictor,,35,0.8262722299319111,0.8899973465558421
Movies and TV,Normal Predictor,,36,0.8263805849135186,0.8899986030613997
Movies and TV,Normal Predictor,,37,0.8264851901338044,0.8899992435773704
Movies and TV,Normal Predictor,,38,0.8265799204338822,0.8899963972258765
Movies and TV,Normal Predictor,,39,0.8266682518352959,0.8899920291309829
Movies and TV,Normal Predictor,,40,0.826755762612165,0.8899949045956242
Movies and TV,Normal Predictor,,41,0.8268345041193569,0.889993789063861
Movies and TV,Normal Predictor,,42,0.8269101297846484,0.8899926142822421
Movies and TV,Normal Predictor,,43,0.8269819829648455,0.8899950932021211
Movies and TV,Normal Predictor,,44,0.8270478201888629,0.8899936613702067
Movies and TV,Normal Predictor,,45,0.827110704915339,0.889992093276655
Movies and TV,Normal Predictor,,46,0.8271720744426554,0.8899929303400189
Movies and TV,Normal Predictor,,47,0.8272312304996935,0.8899933737783818
Movies and TV,Normal Predictor,,48,0.8272845693357342,0.8899929566140811
Movies and TV,Normal Predictor,,49,0.827335273764664,0.8899917898589206
Movies and TV,Normal Predictor,,50,0.8273869699903963,0.8899935166565581
Movies and TV,Normal Predictor,,51,0.8274330242650579,0.8899911849764413
Movies and TV,Normal Predictor,,52,0.8274789224528825,0.8899898052840644
Movies and TV,Normal Predictor,,53,0.8275223026435096,0.8899898371982111
Movies and TV,Normal Predictor,,54,0.8275646959141384,0.8899900154446322
Movies and TV,Normal Predictor,,55,0.8276040826928117,0.8899895830713392
Movies and TV,Normal Predictor,,56,0.8276411914990355,0.889988632125088
Movies and TV,Normal Predictor,,57,0.8276783055514956,0.8899883262651823
Movies and TV,Normal Predictor,,58,0.8277137800345638,0.8899885178195684
Movies and TV,Normal Predictor,,59,0.8277468103596967,0.8899864692969195
Movies and TV,Normal Predictor,,60,0.8277777368745083,0.8899853015276301
Movies and TV,Normal Predictor,,61,0.8278090669548067,0.8899857244825063
Movies and TV,Normal Predictor,,62,0.8278385298474673,0.88998567331861
Movies and TV,Normal Predictor,,63,0.8278678502047516,0.8899853940951529
Movies and TV,Normal Predictor,,64,0.8278958866281518,0.8899848378296714
Movies and TV,Normal Predictor,,65,0.8279226561384888,0.8899838525601695
Movies and TV,Normal Predictor,,66,0.8279489665807362,0.8899842482569078
Movies and TV,Normal Predictor,,67,0.8279752933064007,0.8899849225417763
Movies and TV,Normal Predictor,,68,0.8279999327953763,0.8899847179045675
Movies and TV,Normal Predictor,,69,0.8280229250123565,0.8899840074379766
Movies and TV,Normal Predictor,,70,0.8280455456941773,0.8899837178953917
Movies and TV,Normal Predictor,,71,0.8280681868198541,0.889984201030627
Movies and TV,Normal Predictor,,72,0.8280896579953925,0.8899850595935992
Movies and TV,Normal Predictor,,73,0.8281102039882453,0.8899852537112766
Movies and TV,Normal Predictor,,74,0.8281288098578032,0.8899832298581006
Movies and TV,Normal Predictor,,75,0.8281475512092504,0.8899828336626544
Movies and TV,Normal Predictor,,76,0.8281658923926969,0.8899828105164995
Movies and TV,Normal Predictor,,77,0.8281842194810195,0.8899827488936195
Movies and TV,Normal Predictor,,78,0.8282015980398797,0.8899824267127072
Movies and TV,Normal Predictor,,79,0.8282184677897089,0.8899821812026957
Movies and TV,Normal Predictor,,80,0.8282361969817096,0.8899836035192714
Movies and TV,Normal Predictor,,81,0.8282527958135271,0.8899835315804502
Movies and TV,Normal Predictor,,82,0.8282693560931199,0.8899844611902528
Movies and TV,Normal Predictor,,83,0.8282841967312046,0.8899840683245717
Movies and TV,Normal Predictor,,84,0.8282991620348327,0.8899845931301056
Movies and TV,Normal Predictor,,85,0.8283129633249608,0.8899845438553778
Movies and TV,Normal Predictor,,86,0.8283257763569037,0.8899838219233203
Movies and TV,Normal Predictor,,87,0.8283391907375475,0.8899836032691855
Movies and TV,Normal Predictor,,88,0.8283523356869866,0.8899836009715002
Movies and TV,Normal Predictor,,89,0.8283639702645499,0.8899833718742152
Movies and TV,Normal Predictor,,90,0.8283762984650334,0.8899838879670099
Movies and TV,Normal Predictor,,91,0.8283881812520234,0.8899841027542844
Movies and TV,Normal Predictor,,92,0.8283995469600658,0.8899843633005876
