category,predictor,nfactors,k,recall,precision
Sports and Outdoors,Normal Predictor,,0,0.02381471219998132,1.0
Sports and Outdoors,Normal Predictor,,65,0.9233637890876325,0.9312921718293514
Sports and Outdoors,Normal Predictor,,130,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,195,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,5,0.9041693958090663,0.9313430667538316
Sports and Outdoors,Normal Predictor,,70,0.9233653937444749,0.9312921718293514
Sports and Outdoors,Normal Predictor,,135,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,200,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,10,0.9210706411938844,0.9312937276312429
Sports and Outdoors,Normal Predictor,,75,0.9233669984013175,0.9312921718293514
Sports and Outdoors,Normal Predictor,,140,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,15,0.9228002744837862,0.9312922187996123
Sports and Outdoors,Normal Predictor,,80,0.92336860305816,0.9312921718293514
Sports and Outdoors,Normal Predictor,,145,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,20,0.9231696780504106,0.9312915796209632
Sports and Outdoors,Normal Predictor,,85,0.9233702077150026,0.9312921718293514
Sports and Outdoors,Normal Predictor,,150,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,25,0.923283427449498,0.9312908812829432
Sports and Outdoors,Normal Predictor,,90,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,155,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,30,0.9233300964254313,0.9312911280651714
Sports and Outdoors,Normal Predictor,,95,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,160,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,35,0.9233439440084455,0.9312917675391861
Sports and Outdoors,Normal Predictor,,100,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,165,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,40,0.9233529986618424,0.9312921010785724
Sports and Outdoors,Normal Predictor,,105,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,170,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,45,0.9233573704602623,0.9312921718293514
Sports and Outdoors,Normal Predictor,,110,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,175,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,50,0.9233589751171049,0.9312921718293514
Sports and Outdoors,Normal Predictor,,115,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,180,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,55,0.9233605797739474,0.9312921718293514
Sports and Outdoors,Normal Predictor,,120,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,185,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,60,0.9233621844307899,0.9312921718293514
Sports and Outdoors,Normal Predictor,,125,0.9233711705091081,0.9312921718293514
Sports and Outdoors,Normal Predictor,,190,0.9233711705091081,0.9312921718293514
