category,predictor,nfactors,k,recall,precision
Toys and Games,Normal Predictor,,0,0.02240256029260487,1.0
Toys and Games,Normal Predictor,,1,0.5115650353458308,0.9335352611727055
Toys and Games,Normal Predictor,,2,0.7445670176936531,0.9341639044462224
Toys and Games,Normal Predictor,,3,0.8387185003530564,0.9343353526117272
Toys and Games,Normal Predictor,,4,0.8758058817909589,0.9346925362898617
Toys and Games,Normal Predictor,,5,0.891968380677398,0.9347754029031888
Toys and Games,Normal Predictor,,6,0.9003758651238205,0.9348115975159066
Toys and Games,Normal Predictor,,7,0.9051035497294058,0.9346796096424625
Toys and Games,Normal Predictor,,8,0.9082256241205399,0.9347041022375346
Toys and Games,Normal Predictor,,9,0.9102387605587079,0.934719977067674
Toys and Games,Normal Predictor,,10,0.9116968464920082,0.9347168021016461
Toys and Games,Normal Predictor,,11,0.9127186191876347,0.934728751519242
Toys and Games,Normal Predictor,,12,0.913431378141536,0.9347274526695031
Toys and Games,Normal Predictor,,13,0.913947548631156,0.9347344131719488
Toys and Games,Normal Predictor,,14,0.9143462520711637,0.9347183987828632
Toys and Games,Normal Predictor,,15,0.9146901061166075,0.9347124117040677
Toys and Games,Normal Predictor,,16,0.9149651886944478,0.9347243178266723
Toys and Games,Normal Predictor,,17,0.9151578661027314,0.9347215864220748
Toys and Games,Normal Predictor,,18,0.9153030376735277,0.9347141159137741
Toys and Games,Normal Predictor,,19,0.9154335783701941,0.9347194632249789
Toys and Games,Normal Predictor,,20,0.9155443102136893,0.9347197640112341
Toys and Games,Normal Predictor,,21,0.9156321451917914,0.9347193558013163
Toys and Games,Normal Predictor,,22,0.9157040332899439,0.9347158922020131
Toys and Games,Normal Predictor,,23,0.9157532063492555,0.9347158922020132
Toys and Games,Normal Predictor,,24,0.9157893532748538,0.9347059531779259
Toys and Games,Normal Predictor,,25,0.915828590268121,0.9347057626799643
Toys and Games,Normal Predictor,,26,0.9158539548151725,0.9347052351471473
Toys and Games,Normal Predictor,,27,0.9158812243418407,0.934706863334854
Toys and Games,Normal Predictor,,28,0.9159063772244903,0.9347082996290095
Toys and Games,Normal Predictor,,29,0.9159267676580983,0.9347088626771719
Toys and Games,Normal Predictor,,30,0.9159457973919799,0.9347074832091737
Toys and Games,Normal Predictor,,31,0.9159608160632127,0.9347061927391108
Toys and Games,Normal Predictor,,32,0.9159758347344454,0.934706653621276
Toys and Games,Normal Predictor,,33,0.9159872239586262,0.9347053547715374
Toys and Games,Normal Predictor,,34,0.9160004567114685,0.9347058131890922
Toys and Games,Normal Predictor,,35,0.9160103420043728,0.9347061013372695
Toys and Games,Normal Predictor,,36,0.9160186398142633,0.9347063734772147
