category,predictor,nfactors,k,recall,precision
Video Games,Normal Predictor,,0,0.04561292366170415,1.0
Video Games,Normal Predictor,,1,0.4756266784521507,0.8804470790533508
Video Games,Normal Predictor,,2,0.6747644503265254,0.880537580886013
Video Games,Normal Predictor,,3,0.7551820129015753,0.8807412100095027
Video Games,Normal Predictor,,4,0.7865925510375752,0.8807977736549165
Video Games,Normal Predictor,,5,0.8011027812460826,0.8809787773202408
Video Games,Normal Predictor,,6,0.8084645086692378,0.8808173823853267
Video Games,Normal Predictor,,7,0.812720397402302,0.8808173823853267
Video Games,Normal Predictor,,8,0.8154323096386481,0.880818190437404
Video Games,Normal Predictor,,9,0.8173893080362541,0.8808477292300089
Video Games,Normal Predictor,,10,0.8188723066319539,0.8808768909316446
Video Games,Normal Predictor,,11,0.8198932739429986,0.880882238767211
Video Games,Normal Predictor,,12,0.8206851777392611,0.8808736685179058
Video Games,Normal Predictor,,13,0.8212582778672541,0.8808353792810103
Video Games,Normal Predictor,,14,0.8217039617882737,0.8808072839318597
Video Games,Normal Predictor,,15,0.822087412946685,0.8807939241375145
Video Games,Normal Predictor,,16,0.8224057103731771,0.8807869479545799
Video Games,Normal Predictor,,17,0.8226406774573641,0.8807819570446905
Video Games,Normal Predictor,,18,0.8228297293991854,0.8807855061361676
Video Games,Normal Predictor,,19,0.8229883649520809,0.8807872262002384
Video Games,Normal Predictor,,20,0.8231197291515383,0.8807847254917044
Video Games,Normal Predictor,,21,0.8232062999878831,0.8807853719333663
Video Games,Normal Predictor,,22,0.8232808766897654,0.8807871349560805
Video Games,Normal Predictor,,23,0.8233552483898633,0.8807981346847539
Video Games,Normal Predictor,,24,0.8234182873794029,0.8808067421960124
Video Games,Normal Predictor,,25,0.8234609331500756,0.8807994266312056
Video Games,Normal Predictor,,26,0.8235027149763394,0.8808033947884839
Video Games,Normal Predictor,,27,0.8235589359894987,0.88080590872828
Video Games,Normal Predictor,,28,0.8235946777896771,0.8808066269967932
Video Games,Normal Predictor,,29,0.8236308152445837,0.880813202868871
Video Games,Normal Predictor,,30,0.8236628405394552,0.8808163236217215
Video Games,Normal Predictor,,31,0.8236885583471765,0.8808160316803256
Video Games,Normal Predictor,,32,0.8237157884366038,0.880819316021027
Video Games,Normal Predictor,,33,0.8237377016472012,0.8808189732110548
Video Games,Normal Predictor,,34,0.823761403495126,0.8808226432942867
Video Games,Normal Predictor,,35,0.82377927120246,0.8808219588266447
Video Games,Normal Predictor,,36,0.8237980243478031,0.8808224975280295
Video Games,Normal Predictor,,37,0.8238131714746274,0.8808224635558702
Video Games,Normal Predictor,,38,0.8238227553319514,0.880818504905295
