category,predictor,nfactors,k,recall,precision
Books,SVD-15,15,0,0.02897929614792872,1.0
Books,SVD-15,15,1,0.47460013160046727,0.9412255188515154
Books,SVD-15,15,2,0.7086417926626055,0.9315971338093582
Books,SVD-15,15,3,0.8213352454583025,0.9260969072731857
Books,SVD-15,15,4,0.8756472878692727,0.9232602739234748
Books,SVD-15,15,5,0.9045424745835463,0.9217125058726062
Books,SVD-15,15,6,0.9219125896844874,0.9207927331499527
Books,SVD-15,15,7,0.9332711145020236,0.920214566386882
Books,SVD-15,15,8,0.9412351487503983,0.9198310858178453
Books,SVD-15,15,9,0.9470923769947033,0.9195471186414824
Books,SVD-15,15,10,0.9515704375960664,0.9193355254884927
Books,SVD-15,15,11,0.9550994995127676,0.9191781184403215
Books,SVD-15,15,12,0.9579271851550867,0.9190389717617095
Books,SVD-15,15,13,0.960258044018824,0.9189446813100595
Books,SVD-15,15,14,0.9622020411963882,0.9188513284918174
Books,SVD-15,15,15,0.9638451966471426,0.9187899511074881
Books,SVD-15,15,16,0.9652451771446511,0.9187308589377495
Books,SVD-15,15,17,0.9664495882458971,0.9186749083180642
Books,SVD-15,15,18,0.967509129250758,0.9186304250006739
Books,SVD-15,15,19,0.9684437596651815,0.9185935917689424
Books,SVD-15,15,20,0.9692726001832145,0.9185598708797525
Books,SVD-15,15,21,0.9700152529702065,0.9185322689884278
Books,SVD-15,15,22,0.9706785721837947,0.9185050261176954
Books,SVD-15,15,23,0.9712757674681877,0.9184792626986861
Books,SVD-15,15,24,0.9718226148966166,0.9184598302766585
Books,SVD-15,15,25,0.9723217687658583,0.9184425800552027
Books,SVD-15,15,26,0.972778677211353,0.9184252884530786
Books,SVD-15,15,27,0.9731973778302173,0.9184078728111223
Books,SVD-15,15,28,0.9735791937066625,0.9183920664173963
Books,SVD-15,15,29,0.9739293813665707,0.9183772772449662
Books,SVD-15,15,30,0.9742533138481785,0.9183641191435765
Books,SVD-15,15,31,0.9745531356674383,0.9183526795392689
Books,SVD-15,15,32,0.9748329456928647,0.9183423905474464
Books,SVD-15,15,33,0.9750921693190729,0.918332623246663
Books,SVD-15,15,34,0.9753342756837812,0.9183234736439495
Books,SVD-15,15,35,0.9755587286667875,0.9183155355102794
Books,SVD-15,15,36,0.9757685046643987,0.9183078619140932
Books,SVD-15,15,37,0.9759633550364483,0.9183012587150339
Books,SVD-15,15,38,0.976143886716302,0.918293466238693
Books,SVD-15,15,39,0.9763139603217852,0.9182869578580696
Books,SVD-15,15,40,0.9764731557023856,0.9182807197222518
Books,SVD-15,15,41,0.9766248491119338,0.9182756944942077
Books,SVD-15,15,42,0.9767658574072279,0.9182693642771905
Books,SVD-15,15,43,0.9768982999178273,0.9182640880509814
Books,SVD-15,15,44,0.9770234837113688,0.9182589511906539
Books,SVD-15,15,45,0.9771432729626176,0.9182552570951606
Books,SVD-15,15,46,0.9772553267159927,0.9182506572440088
Books,SVD-15,15,47,0.9773625433557841,0.9182470518431871
Books,SVD-15,15,48,0.9774638995398867,0.9182432151435033
Books,SVD-15,15,49,0.9775590894191578,0.9182391042884035
Books,SVD-15,15,50,0.977650379670543,0.9182358619581797
Books,SVD-15,15,51,0.9777361978072037,0.9182320027916009
Books,SVD-15,15,52,0.9778177096236306,0.9182286504165066
Books,SVD-15,15,53,0.977895563161591,0.9182255312510017
Books,SVD-15,15,54,0.9779689965874192,0.9182220100867104
Books,SVD-15,15,55,0.9780391225723154,0.918219491810613
Books,SVD-15,15,56,0.9781060004364944,0.9182172014532946
Books,SVD-15,15,57,0.9781691650307941,0.9182145302481564
Books,SVD-15,15,58,0.9782298330138869,0.9182117710779542
Books,SVD-15,15,59,0.9782873207726848,0.9182092039528305
Books,SVD-15,15,60,0.978342424313471,0.9182071362441965
Books,SVD-15,15,61,0.9783955101934906,0.9182052607727934
Books,SVD-15,15,62,0.9784462434950768,0.9182034377402459
Books,SVD-15,15,63,0.978495102939372,0.9182016037199073
Books,SVD-15,15,64,0.9785422811218749,0.9181996980402164
Books,SVD-15,15,65,0.9785877606698482,0.9181980535896817
Books,SVD-15,15,66,0.9786316482559113,0.9181962888504532
Books,SVD-15,15,67,0.978673505278022,0.918194073552914
Books,SVD-15,15,68,0.9787142328219672,0.918192332343504
Books,SVD-15,15,69,0.9787536556421663,0.9181909033933989
Books,SVD-15,15,70,0.9787911268020013,0.9181893300141272
Books,SVD-15,15,71,0.9788268420757432,0.9181879542942273
Books,SVD-15,15,72,0.9788611445460547,0.9181863540582192
Books,SVD-15,15,73,0.9788945860463001,0.918185223779158
Books,SVD-15,15,74,0.9789266751096528,0.9181839238858561
Books,SVD-15,15,75,0.9789576544350393,0.9181829310231913
Books,SVD-15,15,76,0.97898718188466,0.9181816865056275
Books,SVD-15,15,77,0.9790152860647467,0.9181802233562695
Books,SVD-15,15,78,0.9790427134242128,0.918179196602157
Books,SVD-15,15,79,0.9790688139948175,0.9181779589651369
Books,SVD-15,15,80,0.9790941011320299,0.9181768107170543
Books,SVD-15,15,81,0.9791187262185472,0.918175847722478
Books,SVD-15,15,82,0.9791424983065122,0.9181748701493472
Books,SVD-15,15,83,0.9791656368188361,0.9181738889950045
Books,SVD-15,15,84,0.9791882349250353,0.9181730482251248
Books,SVD-15,15,85,0.9792098835884248,0.9181720923741766
Books,SVD-15,15,86,0.9792309971910064,0.9181713358608288
