category,predictor,nfactors,k,recall,precision
CDs and Vinyl,SVD-15,15,0,0.025164476051998907,1.0
CDs and Vinyl,SVD-15,15,1,0.47732207077700106,0.9478859248808719
CDs and Vinyl,SVD-15,15,2,0.7126914395452661,0.9393849963289809
CDs and Vinyl,SVD-15,15,3,0.8252293260584117,0.9344327195773289
CDs and Vinyl,SVD-15,15,4,0.8792051252273541,0.9319157921003508
CDs and Vinyl,SVD-15,15,5,0.9077170431495087,0.9303113408097357
CDs and Vinyl,SVD-15,15,6,0.9249152360871423,0.9293611946887793
CDs and Vinyl,SVD-15,15,7,0.9362944232291422,0.9286670944380804
CDs and Vinyl,SVD-15,15,8,0.944429574441024,0.9281984482317753
CDs and Vinyl,SVD-15,15,9,0.9504707907709649,0.9278655371856069
CDs and Vinyl,SVD-15,15,10,0.9550756197178956,0.9276380779627114
CDs and Vinyl,SVD-15,15,11,0.9585896408540769,0.9274293337391678
CDs and Vinyl,SVD-15,15,12,0.9614265106580102,0.9272847178350828
CDs and Vinyl,SVD-15,15,13,0.9637647127037378,0.9271725016653972
CDs and Vinyl,SVD-15,15,14,0.9657112608708426,0.9270684064027284
CDs and Vinyl,SVD-15,15,15,0.9673309149652042,0.9269694842632953
CDs and Vinyl,SVD-15,15,16,0.9687210888926823,0.9269078207397891
CDs and Vinyl,SVD-15,15,17,0.969934930809605,0.9268647910608485
CDs and Vinyl,SVD-15,15,18,0.9709519029968495,0.9267975149193866
CDs and Vinyl,SVD-15,15,19,0.9718370563257556,0.9267322691951492
CDs and Vinyl,SVD-15,15,20,0.972638200657194,0.9267014311192935
CDs and Vinyl,SVD-15,15,21,0.9733401837222263,0.9266675658823708
CDs and Vinyl,SVD-15,15,22,0.9739632308829885,0.9266321675485976
CDs and Vinyl,SVD-15,15,23,0.9745319040798015,0.9266099473988652
CDs and Vinyl,SVD-15,15,24,0.9750453688084093,0.9265901787679998
CDs and Vinyl,SVD-15,15,25,0.9755081971618728,0.9265663531342092
CDs and Vinyl,SVD-15,15,26,0.9759285122940288,0.9265503180341723
CDs and Vinyl,SVD-15,15,27,0.9763063867265223,0.9265284572087183
CDs and Vinyl,SVD-15,15,28,0.9766631620955316,0.9265201927503149
CDs and Vinyl,SVD-15,15,29,0.976988276644862,0.9265024812266763
CDs and Vinyl,SVD-15,15,30,0.9772861901221287,0.9264819956659355
CDs and Vinyl,SVD-15,15,31,0.9775628237438898,0.926463311626053
CDs and Vinyl,SVD-15,15,32,0.9778205884906644,0.9264494234015027
