category,predictor,nfactors,k,recall,precision
Cell Phones and Accessories,SVD-15,15,0,0.05490005271053805,1.0
Cell Phones and Accessories,SVD-15,15,1,0.5916233903982993,0.9009447350281798
Cell Phones and Accessories,SVD-15,15,2,0.8353298285340678,0.888760491424401
Cell Phones and Accessories,SVD-15,15,3,0.925503292978123,0.8836921704577707
Cell Phones and Accessories,SVD-15,15,4,0.9547810097273792,0.8819283947613833
Cell Phones and Accessories,SVD-15,15,5,0.964578658976254,0.881354660827961
Cell Phones and Accessories,SVD-15,15,6,0.9685731275253417,0.8811032721080161
Cell Phones and Accessories,SVD-15,15,7,0.9703424301191822,0.8810385906785373
Cell Phones and Accessories,SVD-15,15,8,0.9712844259390551,0.8809611177723331
Cell Phones and Accessories,SVD-15,15,9,0.9718487674872822,0.8809301446997592
Cell Phones and Accessories,SVD-15,15,10,0.972223595967099,0.8809265405604052
Cell Phones and Accessories,SVD-15,15,11,0.9724385393159097,0.8809047928558938
Cell Phones and Accessories,SVD-15,15,12,0.9726096041003331,0.8808946562139605
Cell Phones and Accessories,SVD-15,15,13,0.9727349251998089,0.8808889381082546
Cell Phones and Accessories,SVD-15,15,14,0.9728285173948518,0.8808818090414005
Cell Phones and Accessories,SVD-15,15,15,0.9729088251750874,0.8808746651223237
Cell Phones and Accessories,SVD-15,15,16,0.9729698450957383,0.8808682452490992
Cell Phones and Accessories,SVD-15,15,17,0.9730196993517141,0.8808670527029893
Cell Phones and Accessories,SVD-15,15,18,0.9730571809418008,0.8808675827234826
Cell Phones and Accessories,SVD-15,15,19,0.9730924099447912,0.880868056952345
Cell Phones and Accessories,SVD-15,15,20,0.9731276389477816,0.8808684837583212
Cell Phones and Accessories,SVD-15,15,21,0.973154836238312,0.8808668425877224
Cell Phones and Accessories,SVD-15,15,22,0.9731819457657089,0.8808671936402569
Cell Phones and Accessories,SVD-15,15,23,0.9732090552931058,0.880867514166484
Cell Phones and Accessories,SVD-15,15,24,0.9732307158746412,0.8808676610743382
Cell Phones and Accessories,SVD-15,15,25,0.9732491852911235,0.8808661743668547
Cell Phones and Accessories,SVD-15,15,26,0.9732691564323368,0.8808663615048596
Cell Phones and Accessories,SVD-15,15,27,0.9732863010099339,0.8808650330560591
Cell Phones and Accessories,SVD-15,15,28,0.9733032109430421,0.8808652475881635
Cell Phones and Accessories,SVD-15,15,29,0.973318619151419,0.8808653973907538
Cell Phones and Accessories,SVD-15,15,30,0.9733326292022882,0.8808655372065045
Cell Phones and Accessories,SVD-15,15,31,0.9733452877008996,0.8808643600480865
Cell Phones and Accessories,SVD-15,15,32,0.9733579461995109,0.8808644826687551
Cell Phones and Accessories,SVD-15,15,33,0.9733692967443246,0.8808633691739971
Cell Phones and Accessories,SVD-15,15,34,0.9733806881626943,0.8808634775872799
Cell Phones and Accessories,SVD-15,15,35,0.9733895790811563,0.8808634775872799
Cell Phones and Accessories,SVD-15,15,36,0.9733984699996183,0.8808634775872799
Cell Phones and Accessories,SVD-15,15,37,0.973405220960339,0.8808623817340979
Cell Phones and Accessories,SVD-15,15,38,0.9734107938788891,0.8808624105723396
Cell Phones and Accessories,SVD-15,15,39,0.973416366797439,0.880862437931697
Cell Phones and Accessories,SVD-15,15,40,0.9734219397159889,0.8808624639230865
Cell Phones and Accessories,SVD-15,15,41,0.9734275126345389,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,42,0.9734320718888956,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,43,0.9734356657487825,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,44,0.9734364307783623,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,45,0.973437195807942,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,46,0.9734379608375221,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,47,0.9734387258671018,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,48,0.9734394908966817,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,49,0.9734402559262616,0.8808624886466034
Cell Phones and Accessories,SVD-15,15,50,0.9734410209558414,0.8808624886466034
