category,predictor,nfactors,k,recall,precision
Clothing Shoes and Jewelry,SVD-15,15,0,0.03636415574028051,1.0
Clothing Shoes and Jewelry,SVD-15,15,1,0.5824502684567303,0.9223298197503357
Clothing Shoes and Jewelry,SVD-15,15,2,0.835257937611936,0.9144599651498272
Clothing Shoes and Jewelry,SVD-15,15,3,0.9329408617717995,0.9107464221441425
Clothing Shoes and Jewelry,SVD-15,15,4,0.965885407790251,0.9093490825644395
Clothing Shoes and Jewelry,SVD-15,15,5,0.9776998676301975,0.9090234334085564
Clothing Shoes and Jewelry,SVD-15,15,6,0.9824576803500812,0.9089025052132432
Clothing Shoes and Jewelry,SVD-15,15,7,0.9845965749492354,0.908829730652509
Clothing Shoes and Jewelry,SVD-15,15,8,0.9856465797642932,0.9088139174886112
Clothing Shoes and Jewelry,SVD-15,15,9,0.9862438056237012,0.9088143142346586
Clothing Shoes and Jewelry,SVD-15,15,10,0.9865797981648783,0.9088003487737828
Clothing Shoes and Jewelry,SVD-15,15,11,0.9867864600556862,0.9088045037869358
Clothing Shoes and Jewelry,SVD-15,15,12,0.9869304491505108,0.9087945490679229
Clothing Shoes and Jewelry,SVD-15,15,13,0.9870273483591079,0.908784477822099
Clothing Shoes and Jewelry,SVD-15,15,14,0.987093538050998,0.9087832221862557
Clothing Shoes and Jewelry,SVD-15,15,15,0.9871364200275851,0.9087806376691457
Clothing Shoes and Jewelry,SVD-15,15,16,0.9871666305457897,0.9087821849787314
Clothing Shoes and Jewelry,SVD-15,15,17,0.987181751887057,0.9087820799577189
Clothing Shoes and Jewelry,SVD-15,15,18,0.987195016014628,0.908783573589898
Clothing Shoes and Jewelry,SVD-15,15,19,0.9872050128218067,0.9087848264721536
Clothing Shoes and Jewelry,SVD-15,15,20,0.98721160178925,0.9087856533744424
Clothing Shoes and Jewelry,SVD-15,15,21,0.9872151003137964,0.9087859934424831
Clothing Shoes and Jewelry,SVD-15,15,22,0.9872172385661794,0.9087863025952476
Clothing Shoes and Jewelry,SVD-15,15,23,0.9872178733598556,0.9087853428775357
Clothing Shoes and Jewelry,SVD-15,15,24,0.9872185081535317,0.9087844631362995
Clothing Shoes and Jewelry,SVD-15,15,25,0.9872206464059146,0.9087847964029796
Clothing Shoes and Jewelry,SVD-15,15,26,0.9872227846582975,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,27,0.9872234194519737,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,28,0.9872240542456499,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,29,0.987224689039326,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,30,0.9872253238330022,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,31,0.9872259586266786,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,32,0.9872265934203548,0.908785104033761
Clothing Shoes and Jewelry,SVD-15,15,33,0.987227228214031,0.908785104033761
