category,predictor,nfactors,k,recall,precision
Electronics,SVD-15,15,0,0.04328278507323852,1.0
Electronics,SVD-15,15,1,0.5400576636379792,0.9165752740343484
Electronics,SVD-15,15,2,0.7835839163867669,0.9042702848579156
Electronics,SVD-15,15,3,0.8884257186805716,0.8982067904247315
Electronics,SVD-15,15,4,0.9313643326845393,0.8956406192879603
Electronics,SVD-15,15,5,0.9501424435068236,0.8942998750169866
Electronics,SVD-15,15,6,0.9595762381369171,0.893622516847825
Electronics,SVD-15,15,7,0.9648917482887576,0.8932629616900133
Electronics,SVD-15,15,8,0.9681441410678241,0.8930413841150991
Electronics,SVD-15,15,9,0.9702421956823121,0.8929087611242219
Electronics,SVD-15,15,10,0.9716785142503505,0.8928156140085606
Electronics,SVD-15,15,11,0.9726819070196514,0.892747598054304
Electronics,SVD-15,15,12,0.9734218035614759,0.8927105799057544
Electronics,SVD-15,15,13,0.9739652010297295,0.8926731836454097
Electronics,SVD-15,15,14,0.9743934513104372,0.8926507206498824
Electronics,SVD-15,15,15,0.9747291446135083,0.8926290926552186
Electronics,SVD-15,15,16,0.9750040237594881,0.8926155751585536
Electronics,SVD-15,15,17,0.9752274282807357,0.8926042179281438
Electronics,SVD-15,15,18,0.9754121309952526,0.8925959052423585
Electronics,SVD-15,15,19,0.9755676940125874,0.8925925138008727
Electronics,SVD-15,15,20,0.9756990061542571,0.8925890081920497
Electronics,SVD-15,15,21,0.9758074588215196,0.8925825279964299
Electronics,SVD-15,15,22,0.9758993096317433,0.8925779294686594
Electronics,SVD-15,15,23,0.9759750967508911,0.8925725166070059
Electronics,SVD-15,15,24,0.9760423766478727,0.8925685222101462
Electronics,SVD-15,15,25,0.9760994446009946,0.8925654024197655
Electronics,SVD-15,15,26,0.9761461739612922,0.8925614890630725
Electronics,SVD-15,15,27,0.9761861219350414,0.8925580455316628
Electronics,SVD-15,15,28,0.9762203128401681,0.89255402009369
Electronics,SVD-15,15,29,0.9762516994882113,0.8925521956824396
Electronics,SVD-15,15,30,0.9762780648308935,0.8925496811063132
Electronics,SVD-15,15,31,0.9763020160829456,0.8925491254341691
Electronics,SVD-15,15,32,0.976322829667853,0.8925475047237497
Electronics,SVD-15,15,33,0.9763410278805466,0.8925456831785434
Electronics,SVD-15,15,34,0.976358692925509,0.8925452225946809
Electronics,SVD-15,15,35,0.9763741287747596,0.8925443733657689
Electronics,SVD-15,15,36,0.9763877600958798,0.8925432067482731
Electronics,SVD-15,15,37,0.9764007592803161,0.8925425213358618
Electronics,SVD-15,15,38,0.9764119818891019,0.8925409122842818
Electronics,SVD-15,15,39,0.9764228549226216,0.8925403194923388
Electronics,SVD-15,15,40,0.9764333183826869,0.8925400029491902
Electronics,SVD-15,15,41,0.9764422151370615,0.8925392221846516
Electronics,SVD-15,15,42,0.976450207281979,0.8925384219135036
Electronics,SVD-15,15,43,0.9764577986005063,0.8925376429674107
Electronics,SVD-15,15,44,0.9764654768371764,0.8925370208221544
Electronics,SVD-15,15,45,0.9764726375792159,0.8925361537303866
Electronics,SVD-15,15,46,0.9764788899478555,0.892534924898575
Electronics,SVD-15,15,47,0.9764844379895631,0.8925340537801109
Electronics,SVD-15,15,48,0.9764902190896778,0.8925337941708733
Electronics,SVD-15,15,49,0.9764953267052618,0.8925333034688995
Electronics,SVD-15,15,50,0.9765001462880378,0.8925329402029606
Electronics,SVD-15,15,51,0.9765043158464505,0.8925326564833012
Electronics,SVD-15,15,52,0.9765082008653266,0.892532258097943
Electronics,SVD-15,15,53,0.9765118546917521,0.8925319622502437
Electronics,SVD-15,15,54,0.9765155445163275,0.8925318860119742
Electronics,SVD-15,15,55,0.9765188482125655,0.8925318028794301
Electronics,SVD-15,15,56,0.9765220163681533,0.8925315176464238
Electronics,SVD-15,15,57,0.9765248437035681,0.8925310409498216
Electronics,SVD-15,15,58,0.9765276437480818,0.8925309627926689
Electronics,SVD-15,15,59,0.9765301249160001,0.8925307782181499
Electronics,SVD-15,15,60,0.976532550012269,0.8925305851979485
Electronics,SVD-15,15,61,0.9765347431259682,0.8925302102457708
Electronics,SVD-15,15,62,0.976536839022346,0.8925300083211937
Electronics,SVD-15,15,63,0.9765384605563916,0.8925296217027446
Electronics,SVD-15,15,64,0.9765399778868232,0.8925292457420282
Electronics,SVD-15,15,65,0.9765416214943999,0.8925291449819273
Electronics,SVD-15,15,66,0.9765431043603856,0.8925290392444696
Electronics,SVD-15,15,67,0.9765444020729058,0.8925289327678686
Electronics,SVD-15,15,68,0.9765457684259956,0.8925289138633069
Electronics,SVD-15,15,69,0.9765468079744153,0.8925287254021806
Electronics,SVD-15,15,70,0.9765477755635058,0.8925286160317903
Electronics,SVD-15,15,71,0.9765486426924512,0.8925285039656512
Electronics,SVD-15,15,72,0.9765495338515449,0.8925283950124601
Electronics,SVD-15,15,73,0.9765504330285578,0.8925282890442882
Electronics,SVD-15,15,74,0.976551294688984,0.8925283358131889
Electronics,SVD-15,15,75,0.9765520186007175,0.8925283027064763
Electronics,SVD-15,15,76,0.9765526557799205,0.892528269463634
Electronics,SVD-15,15,77,0.9765532023633146,0.8925283028242196
Electronics,SVD-15,15,78,0.9765537489467089,0.8925283353294053
Electronics,SVD-15,15,79,0.9765542199781891,0.8925283642161808
Electronics,SVD-15,15,80,0.9765546910096693,0.892528392380787
Electronics,SVD-15,15,81,0.9765551620411496,0.8925284198499707
Electronics,SVD-15,15,82,0.9765555041849644,0.8925283757609583
Electronics,SVD-15,15,83,0.9765558412299268,0.8925283327343317
Electronics,SVD-15,15,84,0.9765562413731909,0.8925283590886426
Electronics,SVD-15,15,85,0.9765566415164552,0.8925283848228522
Electronics,SVD-15,15,86,0.9765569093813512,0.8925282764249757
Electronics,SVD-15,15,87,0.9765571861752522,0.8925281705190042
Electronics,SVD-15,15,88,0.9765575171384505,0.8925281945187765
Electronics,SVD-15,15,89,0.9765577939323515,0.8925281534629865
Electronics,SVD-15,15,90,0.9765580016467198,0.8925281126027004
Electronics,SVD-15,15,91,0.9765582042622355,0.8925280726404424
Electronics,SVD-15,15,92,0.9765584068777512,0.8925280335469291
Electronics,SVD-15,15,93,0.9765586725915687,0.892528057035486
Electronics,SVD-15,15,94,0.9765588803059371,0.8925280189397597
Electronics,SVD-15,15,95,0.9765591460197546,0.8925280420875804
Electronics,SVD-15,15,96,0.9765593575642754,0.8925280049412225
Electronics,SVD-15,15,97,0.9765596232780929,0.8925280277560832
Electronics,SVD-15,15,98,0.9765598309924611,0.8925279915140539
Electronics,SVD-15,15,99,0.9765600336079768,0.892527956004187
Electronics,SVD-15,15,100,0.976560187153048,0.8925278637850627
Electronics,SVD-15,15,101,0.9765603986975687,0.8925278302430047
Electronics,SVD-15,15,102,0.9765606013130842,0.8925277973586343
Electronics,SVD-15,15,103,0.9765608128576047,0.8925277651127956
Electronics,SVD-15,15,104,0.9765610340602172,0.8925277334870688
Electronics,SVD-15,15,105,0.9765611786762834,0.8925276477785419
Electronics,SVD-15,15,106,0.9765613232923497,0.8925275636871569
Electronics,SVD-15,15,107,0.9765615890061673,0.8925275884936575
Electronics,SVD-15,15,108,0.9765618547199849,0.8925276128407784
Electronics,SVD-15,15,109,0.9765620573355006,0.8925275840627642
