category,predictor,nfactors,k,recall,precision
Home and Kitchen,SVD-15,15,0,0.035073382254836555,1.0
Home and Kitchen,SVD-15,15,1,0.5520661748971333,0.9279519679786524
Home and Kitchen,SVD-15,15,2,0.8015598538339999,0.9171947965310207
Home and Kitchen,SVD-15,15,3,0.9056975642448085,0.9123026462085835
Home and Kitchen,SVD-15,15,4,0.9459991767385465,0.9099469090504781
Home and Kitchen,SVD-15,15,5,0.9634479283383566,0.9090704914387369
Home and Kitchen,SVD-15,15,6,0.9719188453536897,0.9086296419835443
Home and Kitchen,SVD-15,15,7,0.9766667478840455,0.908387417008164
Home and Kitchen,SVD-15,15,8,0.9795327023298425,0.9082408907525652
Home and Kitchen,SVD-15,15,9,0.981385779028949,0.9081308636974915
Home and Kitchen,SVD-15,15,10,0.9826532610531946,0.9080430273621567
Home and Kitchen,SVD-15,15,11,0.9835452378948536,0.9079937520877314
Home and Kitchen,SVD-15,15,12,0.9841574996875072,0.9079398019795786
Home and Kitchen,SVD-15,15,13,0.9846096584738488,0.9079113642176518
Home and Kitchen,SVD-15,15,14,0.984956559629223,0.9079006427843151
Home and Kitchen,SVD-15,15,15,0.9852279729916456,0.907883964999125
Home and Kitchen,SVD-15,15,16,0.9854367102214706,0.9078702058263433
Home and Kitchen,SVD-15,15,17,0.9856100210669111,0.9078580653797711
Home and Kitchen,SVD-15,15,18,0.9857550389060177,0.9078505440256658
Home and Kitchen,SVD-15,15,19,0.985870570502293,0.9078430341457848
Home and Kitchen,SVD-15,15,20,0.9859620923122249,0.9078390402551206
Home and Kitchen,SVD-15,15,21,0.9860299856168735,0.9078359032431444
Home and Kitchen,SVD-15,15,22,0.9860844345677738,0.9078317518463982
Home and Kitchen,SVD-15,15,23,0.986131343413489,0.9078296094431623
Home and Kitchen,SVD-15,15,24,0.9861705808641075,0.907827101732708
Home and Kitchen,SVD-15,15,25,0.9862055205102461,0.9078251559911024
Home and Kitchen,SVD-15,15,26,0.9862362357171442,0.907822513203603
Home and Kitchen,SVD-15,15,27,0.9862630280198638,0.9078209927217623
