category,predictor,nfactors,k,recall,precision
Kindle Store,SVD-15,15,0,0.02309106469301721,1.0
Kindle Store,SVD-15,15,1,0.4591144900904639,0.9554977970775619
Kindle Store,SVD-15,15,2,0.6911551159640955,0.9474547529240229
Kindle Store,SVD-15,15,3,0.8063511748161454,0.9432021088888185
Kindle Store,SVD-15,15,4,0.8641656840053286,0.9410876731433643
Kindle Store,SVD-15,15,5,0.8968868816013151,0.9400171162318932
Kindle Store,SVD-15,15,6,0.9174972158237826,0.9391840206240029
Kindle Store,SVD-15,15,7,0.9312671191531856,0.9386640433852707
Kindle Store,SVD-15,15,8,0.9410604538101952,0.9383334918169619
Kindle Store,SVD-15,15,9,0.9484118822597275,0.9381118348530152
Kindle Store,SVD-15,15,10,0.9540676101111971,0.9379500054588804
Kindle Store,SVD-15,15,11,0.9585206359548546,0.937805497204765
Kindle Store,SVD-15,15,12,0.9621391136170734,0.9377501479980958
Kindle Store,SVD-15,15,13,0.9650786102959057,0.9376676552375466
Kindle Store,SVD-15,15,14,0.9674778348131602,0.937598427498662
Kindle Store,SVD-15,15,15,0.969482625236854,0.9375289211072437
Kindle Store,SVD-15,15,16,0.9712088131857594,0.9374816401580324
Kindle Store,SVD-15,15,17,0.9726752150779996,0.9374517496795425
Kindle Store,SVD-15,15,18,0.9739295502216186,0.937424455276832
Kindle Store,SVD-15,15,19,0.9750009757842497,0.9373857148342752
Kindle Store,SVD-15,15,20,0.9759489439892276,0.9373683650475607
Kindle Store,SVD-15,15,21,0.9767684783284731,0.9373473470996672
Kindle Store,SVD-15,15,22,0.9774861560574744,0.937332870889432
Kindle Store,SVD-15,15,23,0.9781219142941325,0.9373214387699748
Kindle Store,SVD-15,15,24,0.9786883084718724,0.9373115048323825
Kindle Store,SVD-15,15,25,0.9791835724119591,0.9372963432319091
Kindle Store,SVD-15,15,26,0.9796405953745897,0.9372858101661287
Kindle Store,SVD-15,15,27,0.9800430488431815,0.9372696231630325
Kindle Store,SVD-15,15,28,0.9804029870612218,0.9372565210111937
Kindle Store,SVD-15,15,29,0.980733695303424,0.9372520709782711
Kindle Store,SVD-15,15,30,0.9810289654786698,0.9372434910025136
Kindle Store,SVD-15,15,31,0.981304366412144,0.9372372879873712
Kindle Store,SVD-15,15,32,0.9815531249889564,0.9372289963539776
Kindle Store,SVD-15,15,33,0.9817840700085557,0.9372230532179034
Kindle Store,SVD-15,15,34,0.9819943358057862,0.9372169794246489
Kindle Store,SVD-15,15,35,0.9821877602336507,0.9372098809562401
Kindle Store,SVD-15,15,36,0.9823688290906992,0.9372051893377097
Kindle Store,SVD-15,15,37,0.9825369414923304,0.9372026669256022
Kindle Store,SVD-15,15,38,0.9826934376520481,0.9372016862658802
Kindle Store,SVD-15,15,39,0.9828312702690224,0.9371973445416408
Kindle Store,SVD-15,15,40,0.9829611733877958,0.9371957597053544
Kindle Store,SVD-15,15,41,0.9830838235606539,0.937193266487294
Kindle Store,SVD-15,15,42,0.9831980966472066,0.9371888396217088
Kindle Store,SVD-15,15,43,0.9833054856963479,0.9371850311004003
Kindle Store,SVD-15,15,44,0.9834075890131058,0.9371841431900074
Kindle Store,SVD-15,15,45,0.9835040895383804,0.9371836709408109
Kindle Store,SVD-15,15,46,0.9835912830086033,0.9371800495516155
Kindle Store,SVD-15,15,47,0.983672101610076,0.9371768534895392
Kindle Store,SVD-15,15,48,0.9837480138548773,0.9371750129438521
Kindle Store,SVD-15,15,49,0.9838210609005288,0.9371737663676913
Kindle Store,SVD-15,15,50,0.9838894110360884,0.9371712370983526
Kindle Store,SVD-15,15,51,0.9839522452909941,0.9371684341133912
Kindle Store,SVD-15,15,52,0.9840108630149471,0.9371672807446003
Kindle Store,SVD-15,15,53,0.9840638992837687,0.9371651300596546
Kindle Store,SVD-15,15,54,0.9841152383216425,0.9371637678313999
Kindle Store,SVD-15,15,55,0.9841633600429971,0.9371629140475419
Kindle Store,SVD-15,15,56,0.9842065493612,0.9371619981356621
Kindle Store,SVD-15,15,57,0.9842472713845682,0.9371613278571574
Kindle Store,SVD-15,15,58,0.9842865607093142,0.9371611696611578
Kindle Store,SVD-15,15,59,0.984323216393719,0.937160132246406
Kindle Store,SVD-15,15,60,0.9843577882726593,0.9371585295023649
Kindle Store,SVD-15,15,61,0.9843901314560478,0.9371569706470011
Kindle Store,SVD-15,15,62,0.9844219633791276,0.9371564845523179
Kindle Store,SVD-15,15,63,0.984453313413254,0.9371565048395206
Kindle Store,SVD-15,15,64,0.9844813410777148,0.9371554592878041
Kindle Store,SVD-15,15,65,0.9845071373002979,0.9371544344778016
Kindle Store,SVD-15,15,66,0.98453278940432,0.937154083523379
Kindle Store,SVD-15,15,67,0.9845556817917355,0.9371523739645626
