category,predictor,nfactors,k,recall,precision
Health and Personal Care,SVD-30,30,0,0.03600941122460691,1.0
Health and Personal Care,SVD-30,30,1,0.5379327912189863,0.9238781131642373
Health and Personal Care,SVD-30,30,2,0.7864371600500215,0.9154711350855044
Health and Personal Care,SVD-30,30,3,0.8911472879293598,0.9107320478977772
Health and Personal Care,SVD-30,30,4,0.9338113505594111,0.908998527105092
Health and Personal Care,SVD-30,30,5,0.9531200869140313,0.9081535253835266
Health and Personal Care,SVD-30,30,6,0.963187278547024,0.9076533149699683
Health and Personal Care,SVD-30,30,7,0.969144151970719,0.9073513578506119
Health and Personal Care,SVD-30,30,8,0.9728649987523893,0.9071120807441535
Health and Personal Care,SVD-30,30,9,0.9754139951187323,0.9069590527017648
Health and Personal Care,SVD-30,30,10,0.9772062925438669,0.9068350362257456
Health and Personal Care,SVD-30,30,11,0.9785806583306594,0.9067737380610387
Health and Personal Care,SVD-30,30,12,0.9796054241800874,0.9067002672111417
Health and Personal Care,SVD-30,30,13,0.980376879993363,0.9066371799292435
Health and Personal Care,SVD-30,30,14,0.9809688365724599,0.906597609147678
Health and Personal Care,SVD-30,30,15,0.981410194505604,0.9065638609990441
Health and Personal Care,SVD-30,30,16,0.9817854373958541,0.9065397112611047
Health and Personal Care,SVD-30,30,17,0.9821043321399853,0.9065274746437445
Health and Personal Care,SVD-30,30,18,0.9823647012718024,0.9065257868344534
Health and Personal Care,SVD-30,30,19,0.9825743654531125,0.9065194106660205
Health and Personal Care,SVD-30,30,20,0.9827565308203204,0.906514276172493
Health and Personal Care,SVD-30,30,21,0.9829058336663715,0.9064984268395313
Health and Personal Care,SVD-30,30,22,0.9830475809400722,0.9064910983862026
Health and Personal Care,SVD-30,30,23,0.9831751146383231,0.906485314470569
Health and Personal Care,SVD-30,30,24,0.9832804050930701,0.9064825075703349
Health and Personal Care,SVD-30,30,25,0.9833723831635405,0.9064781558353795
Health and Personal Care,SVD-30,30,26,0.9834550555100975,0.9064747127044257
Health and Personal Care,SVD-30,30,27,0.9835200791689567,0.9064678051886232
Health and Personal Care,SVD-30,30,28,0.9835755916869932,0.906458962050261
Health and Personal Care,SVD-30,30,29,0.9836261397079684,0.9064541210307552
Health and Personal Care,SVD-30,30,30,0.9836750748848848,0.9064531316253086
Health and Personal Care,SVD-30,30,31,0.9837154964794137,0.906449305924249
Health and Personal Care,SVD-30,30,32,0.9837527451329844,0.9064474258544236
Health and Personal Care,SVD-30,30,33,0.9837796661164674,0.9064425893857545
Health and Personal Care,SVD-30,30,34,0.983804964755336,0.9064409271493314
Health and Personal Care,SVD-30,30,35,0.9838270786623657,0.9064368281839102
Health and Personal Care,SVD-30,30,36,0.9838487441219708,0.9064358262145853
Health and Personal Care,SVD-30,30,37,0.9838689865952993,0.9064348137824354
Health and Personal Care,SVD-30,30,38,0.9838888827285848,0.9064338546361882
Health and Personal Care,SVD-30,30,39,0.9839080635574947,0.9064329446769279
Health and Personal Care,SVD-30,30,40,0.9839257536156854,0.906431822716521
Health and Personal Care,SVD-30,30,41,0.9839419853915936,0.9064306680079695
Health and Personal Care,SVD-30,30,42,0.9839545971782364,0.9064280686640439
Health and Personal Care,SVD-30,30,43,0.9839672944885501,0.9064261145061105
Health and Personal Care,SVD-30,30,44,0.983979194108975,0.9064261296714162
Health and Personal Care,SVD-30,30,45,0.9839896439261968,0.9064259992497891
Health and Personal Care,SVD-30,30,46,0.9839990059845404,0.9064246269874524
Health and Personal Care,SVD-30,30,47,0.98400689326536,0.9064238307036979
Health and Personal Care,SVD-30,30,48,0.9840148514064964,0.9064236526458029
Health and Personal Care,SVD-30,30,49,0.9840201737499257,0.9064216763589036
Health and Personal Care,SVD-30,30,50,0.98402484398522,0.9064203295559794
Health and Personal Care,SVD-30,30,51,0.9840291447297281,0.9064190018126704
Health and Personal Care,SVD-30,30,52,0.9840326418777136,0.906418623137509
Health and Personal Care,SVD-30,30,53,0.98403556517054,0.9064187272476613
Health and Personal Care,SVD-30,30,54,0.9840384884633668,0.9064188275018819
Health and Personal Care,SVD-30,30,55,0.9840414117561934,0.9064189241104945
Health and Personal Care,SVD-30,30,56,0.9840438037016505,0.9064185048981219
Health and Personal Care,SVD-30,30,57,0.9840462322917538,0.9064186037766736
Health and Personal Care,SVD-30,30,58,0.9840481295344877,0.906418204542897
Health and Personal Care,SVD-30,30,59,0.9840505581245909,0.9064183051604
Health and Personal Care,SVD-30,30,60,0.9840525882041674,0.9064179242113538
Health and Personal Care,SVD-30,30,61,0.9840550167942707,0.9064180261255215
Health and Personal Care,SVD-30,30,62,0.9840569140370047,0.906418071645497
Health and Personal Care,SVD-30,30,63,0.9840588112797386,0.906418115720394
Health and Personal Care,SVD-30,30,64,0.9840602530818702,0.9064177100936075
Health and Personal Care,SVD-30,30,65,0.9840621503246042,0.9064177583746906
Health and Personal Care,SVD-30,30,66,0.9840640475673381,0.9064178051927105
Health and Personal Care,SVD-30,30,67,0.984065944810072,0.9064178506131778
Health and Personal Care,SVD-30,30,68,0.9840673866122035,0.9064174727454261
Health and Personal Care,SVD-30,30,69,0.9840688284143351,0.9064174910911792
Health and Personal Care,SVD-30,30,70,0.9840702702164666,0.906417508912768
Health and Personal Care,SVD-30,30,71,0.9840713896280595,0.9064171221089888
Health and Personal Care,SVD-30,30,72,0.9840728314301912,0.9064171445602862
Health and Personal Care,SVD-30,30,73,0.9840738747217959,0.9064171663964794
Health and Personal Care,SVD-30,30,74,0.9840745195028733,0.9064171823309988
Health and Personal Care,SVD-30,30,75,0.9840751642839509,0.9064171978405977
Health and Personal Care,SVD-30,30,76,0.9840758090650283,0.9064172129420492
Health and Personal Care,SVD-30,30,77,0.9840764538461058,0.9064172276512553
Health and Personal Care,SVD-30,30,78,0.9840770986271833,0.9064172419833022
Health and Personal Care,SVD-30,30,79,0.9840777434082607,0.9064172559525125
Health and Personal Care,SVD-30,30,80,0.9840783881893381,0.9064172695724925
Health and Personal Care,SVD-30,30,81,0.9840790329704158,0.9064172828561767
Health and Personal Care,SVD-30,30,82,0.9840793553609545,0.9064169459041864
Health and Personal Care,SVD-30,30,83,0.9840800001420319,0.9064169627674001
Health and Personal Care,SVD-30,30,84,0.9840806449231094,0.9064169792291086
Health and Personal Care,SVD-30,30,85,0.9840809673136481,0.9064166577416246
Health and Personal Care,SVD-30,30,86,0.9840816120947256,0.9064166773673139
Health and Personal Care,SVD-30,30,87,0.9840822568758032,0.9064166965418381
Health and Personal Care,SVD-30,30,88,0.9840829016568806,0.9064167152805777
Health and Personal Care,SVD-30,30,89,0.984083546437958,0.9064167335982218
Health and Personal Care,SVD-30,30,90,0.9840841912190357,0.9064167515088074
Health and Personal Care,SVD-30,30,91,0.9840845136095744,0.9064167620189751
Health and Personal Care,SVD-30,30,92,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,93,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,94,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,95,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,96,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,97,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,98,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,99,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,100,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,101,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,102,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,103,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,104,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,105,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,106,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,107,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,108,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,109,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,110,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,111,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,112,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,113,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,114,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,115,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,116,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,117,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,118,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,119,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,120,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,121,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,122,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,123,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,124,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,125,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,126,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,127,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,128,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,129,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,130,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,131,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,132,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,133,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,134,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,135,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,136,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,137,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,138,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,139,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,140,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,141,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,142,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,143,0.9840845136095744,0.9064164604228572
Health and Personal Care,SVD-30,30,144,0.9840845136095744,0.9064164604228572
