category,predictor,nfactors,k,recall,precision
Movies and TV,SVD-30,30,0,0.03658944183510124,1.0
Movies and TV,SVD-30,30,1,0.49520387034962216,0.9309198374584411
Movies and TV,SVD-30,30,2,0.7262719506409434,0.9194020792653966
Movies and TV,SVD-30,30,3,0.8327989741941817,0.9128523346292093
Movies and TV,SVD-30,30,4,0.8819352383925808,0.9095635360411864
Movies and TV,SVD-30,30,5,0.9072005187113069,0.9078506048398918
Movies and TV,SVD-30,30,6,0.9219307730063169,0.9069484757331081
Movies and TV,SVD-30,30,7,0.9314411291732874,0.9063493319997622
Movies and TV,SVD-30,30,8,0.9379312661050826,0.9059210206678412
Movies and TV,SVD-30,30,9,0.9425472831399658,0.9055788497724746
Movies and TV,SVD-30,30,10,0.9460052144721647,0.9053214336672566
Movies and TV,SVD-30,30,11,0.9486969496216211,0.9051437637814226
Movies and TV,SVD-30,30,12,0.9508212707361817,0.9049699186223541
Movies and TV,SVD-30,30,13,0.952572876000298,0.9048668529485461
Movies and TV,SVD-30,30,14,0.9540295115096835,0.904785421722991
Movies and TV,SVD-30,30,15,0.9552337173322859,0.904713214536952
Movies and TV,SVD-30,30,16,0.9562236407595386,0.9046292537885102
Movies and TV,SVD-30,30,17,0.9570826493524078,0.9045705306317189
Movies and TV,SVD-30,30,18,0.9578442294290849,0.904532847783675
Movies and TV,SVD-30,30,19,0.9585073882409789,0.9044915190380125
Movies and TV,SVD-30,30,20,0.9590809943268652,0.9044466617896089
Movies and TV,SVD-30,30,21,0.9596027125613839,0.9044180972299346
Movies and TV,SVD-30,30,22,0.9600631996419907,0.9043923959798944
Movies and TV,SVD-30,30,23,0.9604682812013648,0.9043595604601569
Movies and TV,SVD-30,30,24,0.9608367512880569,0.9043338112013403
Movies and TV,SVD-30,30,25,0.9611632267016581,0.9043069994669187
Movies and TV,SVD-30,30,26,0.9614633729544131,0.904285822515561
Movies and TV,SVD-30,30,27,0.961731333814798,0.9042646480700544
Movies and TV,SVD-30,30,28,0.961981086245253,0.904248080811592
Movies and TV,SVD-30,30,29,0.9622144057718118,0.9042392527768561
Movies and TV,SVD-30,30,30,0.9624213519137462,0.904220084567937
Movies and TV,SVD-30,30,31,0.962614954186312,0.9042062292297733
Movies and TV,SVD-30,30,32,0.9627951828368561,0.9041962987826252
Movies and TV,SVD-30,30,33,0.9629617648387828,0.9041866286872976
Movies and TV,SVD-30,30,34,0.9631178159895907,0.9041762417986647
Movies and TV,SVD-30,30,35,0.9632582348187214,0.9041617698111257
Movies and TV,SVD-30,30,36,0.9633907504202339,0.9041480459782029
Movies and TV,SVD-30,30,37,0.9635183886773636,0.9041384250321208
Movies and TV,SVD-30,30,38,0.9636370703062956,0.9041291478029652
Movies and TV,SVD-30,30,39,0.9637473939330942,0.9041215095718131
Movies and TV,SVD-30,30,40,0.9638503124806265,0.9041150425954533
Movies and TV,SVD-30,30,41,0.963948678790036,0.904108703371683
Movies and TV,SVD-30,30,42,0.9640436101207488,0.9041042902789933
Movies and TV,SVD-30,30,43,0.9641348941217431,0.9041016896047
Movies and TV,SVD-30,30,44,0.9642183543516727,0.9040969571212947
Movies and TV,SVD-30,30,45,0.9642968631890623,0.9040913377492178
Movies and TV,SVD-30,30,46,0.9643704359730244,0.9040848366987244
Movies and TV,SVD-30,30,47,0.9644404463871381,0.9040791370918778
Movies and TV,SVD-30,30,48,0.9645064420726593,0.9040725677288232
Movies and TV,SVD-30,30,49,0.9645718480272157,0.9040688468269491
Movies and TV,SVD-30,30,50,0.9646326690731257,0.9040644346974342
Movies and TV,SVD-30,30,51,0.9646922367188081,0.9040607543680188
Movies and TV,SVD-30,30,52,0.9647487975946362,0.9040566816222525
Movies and TV,SVD-30,30,53,0.9648032695936325,0.9040523636381685
Movies and TV,SVD-30,30,54,0.9648549947131156,0.9040480672847842
Movies and TV,SVD-30,30,55,0.9649062820549441,0.9040462667165511
Movies and TV,SVD-30,30,56,0.9649526874640146,0.9040414320258489
Movies and TV,SVD-30,30,57,0.9649976936794262,0.9040388225724214
Movies and TV,SVD-30,30,58,0.965039250539088,0.9040340869223163
Movies and TV,SVD-30,30,59,0.9650796900844913,0.904031033415532
Movies and TV,SVD-30,30,60,0.9651181244521271,0.9040279773384557
Movies and TV,SVD-30,30,61,0.9651571616394276,0.904026554672054
Movies and TV,SVD-30,30,62,0.9651946798305538,0.9040243871833555
Movies and TV,SVD-30,30,63,0.9652312951153917,0.9040226127633209
Movies and TV,SVD-30,30,64,0.9652640354917009,0.9040180906521736
Movies and TV,SVD-30,30,65,0.9652968536266053,0.9040157775945874
Movies and TV,SVD-30,30,66,0.9653287827907032,0.904013280399626
Movies and TV,SVD-30,30,67,0.9653604416117356,0.9040117548052485
Movies and TV,SVD-30,30,68,0.9653908618865311,0.9040089458699756
Movies and TV,SVD-30,30,69,0.9654199173670813,0.9040054197811699
Movies and TV,SVD-30,30,70,0.9654486484105925,0.9040035696222621
Movies and TV,SVD-30,30,71,0.9654773302989043,0.904002189235875
Movies and TV,SVD-30,30,72,0.9655043608041645,0.904000516844675
Movies and TV,SVD-30,30,73,0.965529812463464,0.9039973758198423
Movies and TV,SVD-30,30,74,0.9655556702555027,0.9039957687859851
Movies and TV,SVD-30,30,75,0.9655802545246737,0.9039932965264017
Movies and TV,SVD-30,30,76,0.9656032620709383,0.9039898924985386
Movies and TV,SVD-30,30,77,0.9656275070663847,0.9039885653521184
Movies and TV,SVD-30,30,78,0.9656503833145875,0.9039868299685688
Movies and TV,SVD-30,30,79,0.9656725031426794,0.903984981506563
Movies and TV,SVD-30,30,80,0.96569440211191,0.9039840017503309
Movies and TV,SVD-30,30,81,0.9657151539999538,0.9039825724752591
Movies and TV,SVD-30,30,82,0.9657349147635564,0.9039806947164268
Movies and TV,SVD-30,30,83,0.9657539649919612,0.9039786153714234
Movies and TV,SVD-30,30,84,0.9657725638423498,0.9039771393558588
Movies and TV,SVD-30,30,85,0.9657911246241243,0.9039766687822088
Movies and TV,SVD-30,30,86,0.9658086110411119,0.9039753235821415
Movies and TV,SVD-30,30,87,0.9658258823663688,0.9039739752149774
Movies and TV,SVD-30,30,88,0.9658420857784007,0.9039726023480769
Movies and TV,SVD-30,30,89,0.9658587458627524,0.9039717196497141
Movies and TV,SVD-30,30,90,0.9658747382568184,0.9039702504323543
Movies and TV,SVD-30,30,91,0.9658901862253867,0.9039690239970154
Movies and TV,SVD-30,30,92,0.9659055237451013,0.9039686541893597
Movies and TV,SVD-30,30,93,0.9659198364984837,0.9039675007771754
Movies and TV,SVD-30,30,94,0.9659337504604345,0.903966427242514
Movies and TV,SVD-30,30,95,0.9659474287973053,0.9039653684290402
Movies and TV,SVD-30,30,96,0.9659609310992353,0.903964418472262
Movies and TV,SVD-30,30,97,0.9659739363059007,0.9039634540988492
Movies and TV,SVD-30,30,98,0.965986417722821,0.9039623761688238
Movies and TV,SVD-30,30,99,0.9659987859415085,0.9039611423275078
Movies and TV,SVD-30,30,100,0.9660108672194024,0.9039602325667163
Movies and TV,SVD-30,30,101,0.9660222234692744,0.903958881885445
Movies and TV,SVD-30,30,102,0.9660338910339871,0.9039581493507551
Movies and TV,SVD-30,30,103,0.9660447282533973,0.9039569655613005
Movies and TV,SVD-30,30,104,0.9660557442387195,0.903956534487932
Movies and TV,SVD-30,30,105,0.9660660292210149,0.903955675875801
Movies and TV,SVD-30,30,106,0.9660761494483519,0.9039553787398955
Movies and TV,SVD-30,30,107,0.9660859908529995,0.9039550631179301
Movies and TV,SVD-30,30,108,0.9660954167749157,0.903954418446638
Movies and TV,SVD-30,30,109,0.9661046545206998,0.903953785604177
Movies and TV,SVD-30,30,110,0.9661135161543856,0.9039529060502867
Movies and TV,SVD-30,30,111,0.9661225523870047,0.9039525134566175
Movies and TV,SVD-30,30,112,0.9661315903155222,0.9039519708103547
Movies and TV,SVD-30,30,113,0.9661406579538494,0.9039516691934234
Movies and TV,SVD-30,30,114,0.9661492220955102,0.9039508321082896
Movies and TV,SVD-30,30,115,0.9661577763491256,0.9039503779069288
Movies and TV,SVD-30,30,116,0.966165734045469,0.9039495965940655
Movies and TV,SVD-30,30,117,0.966173444916587,0.9039487495730408
Movies and TV,SVD-30,30,118,0.9661815976514305,0.9039485775611978
Movies and TV,SVD-30,30,119,0.9661890718565506,0.9039479323963303
Movies and TV,SVD-30,30,120,0.9661961680789094,0.9039470670089244
Movies and TV,SVD-30,30,121,0.9662036269607155,0.9039467865451146
Movies and TV,SVD-30,30,122,0.9662110137223324,0.9039462205132793
Movies and TV,SVD-30,30,123,0.9662180271044515,0.9039453061429816
Movies and TV,SVD-30,30,124,0.9662249355519352,0.9039445356971401
Movies and TV,SVD-30,30,125,0.9662318915786687,0.9039440459842322
Movies and TV,SVD-30,30,126,0.9662386230895688,0.9039434892126585
Movies and TV,SVD-30,30,127,0.9662452703742752,0.9039428703039716
Movies and TV,SVD-30,30,128,0.9662519009301066,0.9039423903800663
Movies and TV,SVD-30,30,129,0.9662583836896318,0.9039420441409501
Movies and TV,SVD-30,30,130,0.9662642822315909,0.9039410235017906
Movies and TV,SVD-30,30,131,0.9662708551295259,0.9039407570016101
Movies and TV,SVD-30,30,132,0.9662772212028453,0.9039404874182411
Movies and TV,SVD-30,30,133,0.966283379388334,0.9039400811080309
Movies and TV,SVD-30,30,134,0.9662895940168856,0.9039398111518093
Movies and TV,SVD-30,30,135,0.9662955213844214,0.9039393458488392
Movies and TV,SVD-30,30,136,0.9663013972942558,0.9039390090697624
Movies and TV,SVD-30,30,137,0.9663074147216113,0.903938934011224
Movies and TV,SVD-30,30,138,0.9663127506842666,0.9039382780443431
Movies and TV,SVD-30,30,139,0.9663181711956813,0.9039378639909792
Movies and TV,SVD-30,30,140,0.9663234676636119,0.9039374431972116
