category,predictor,nfactors,k,recall,precision
Sports and Outdoors,SVD-30,30,0,0.02381471219998132,1.0
Sports and Outdoors,SVD-30,30,1,0.5408829025412394,0.9486038041278835
Sports and Outdoors,SVD-30,30,2,0.798571677405426,0.9402608722722037
Sports and Outdoors,SVD-30,30,3,0.9083435794624742,0.9358818707260633
Sports and Outdoors,SVD-30,30,4,0.9520200115051316,0.9340581514802477
Sports and Outdoors,SVD-30,30,5,0.9708408004641217,0.933212962674719
Sports and Outdoors,SVD-30,30,6,0.980054857897158,0.9328549637331507
Sports and Outdoors,SVD-30,30,7,0.9851518615890392,0.9325510722920679
Sports and Outdoors,SVD-30,30,8,0.9881447261592606,0.9324259950221099
Sports and Outdoors,SVD-30,30,9,0.9900455992491626,0.9323810289714781
Sports and Outdoors,SVD-30,30,10,0.9912830098159711,0.9323298368522973
Sports and Outdoors,SVD-30,30,11,0.9920729348366109,0.9322771982727467
Sports and Outdoors,SVD-30,30,12,0.9926417628827968,0.9322630481169535
Sports and Outdoors,SVD-30,30,13,0.9930421314796524,0.9322484807129766
Sports and Outdoors,SVD-30,30,14,0.993331531349232,0.9322332576332826
Sports and Outdoors,SVD-30,30,15,0.9935472569992493,0.9322329611538279
Sports and Outdoors,SVD-30,30,16,0.993704701155176,0.9322258271169488
Sports and Outdoors,SVD-30,30,17,0.9938130627013754,0.932219990177684
Sports and Outdoors,SVD-30,30,18,0.9939000780366243,0.932214089655203
Sports and Outdoors,SVD-30,30,19,0.9939737591166079,0.9322116319965653
Sports and Outdoors,SVD-30,30,20,0.994032639936093,0.9322122873722017
Sports and Outdoors,SVD-30,30,21,0.9940785823214033,0.9322091002180638
Sports and Outdoors,SVD-30,30,22,0.9941108546012284,0.9322070113855419
Sports and Outdoors,SVD-30,30,23,0.9941388502346246,0.932205042668214
Sports and Outdoors,SVD-30,30,24,0.9941641723551818,0.9322031816151152
Sports and Outdoors,SVD-30,30,25,0.994182469887806,0.9322012100267414
Sports and Outdoors,SVD-30,30,26,0.994197441928744,0.9321993900990116
Sports and Outdoors,SVD-30,30,27,0.9942097809321041,0.9321987249207478
Sports and Outdoors,SVD-30,30,28,0.9942231933955591,0.9321992190531724
Sports and Outdoors,SVD-30,30,29,0.9942332111692574,0.9321984906338224
Sports and Outdoors,SVD-30,30,30,0.9942442666210473,0.932198848453854
Sports and Outdoors,SVD-30,30,31,0.9942491540025901,0.9321961036279345
Sports and Outdoors,SVD-30,30,32,0.9942548395980493,0.9321953818558749
Sports and Outdoors,SVD-30,30,33,0.9942584833108125,0.9321946153891028
Sports and Outdoors,SVD-30,30,34,0.9942621270235755,0.9321946986253133
Sports and Outdoors,SVD-30,30,35,0.994264827392619,0.9321947509452172
Sports and Outdoors,SVD-30,30,36,0.9942666383232984,0.9321948003584597
Sports and Outdoors,SVD-30,30,37,0.9942684492539778,0.932194847100716
Sports and Outdoors,SVD-30,30,38,0.9942702601846571,0.9321948913828536
Sports and Outdoors,SVD-30,30,39,0.9942720711153364,0.9321949333941124
Sports and Outdoors,SVD-30,30,40,0.994273882046016,0.9321949733048082
Sports and Outdoors,SVD-30,30,41,0.9942748947627789,0.9321942519919885
Sports and Outdoors,SVD-30,30,42,0.9942759074795416,0.932194270070004
Sports and Outdoors,SVD-30,30,43,0.9942769201963045,0.9321942873071816
Sports and Outdoors,SVD-30,30,44,0.9942779329130673,0.9321943037608511
Sports and Outdoors,SVD-30,30,45,0.9942789456298302,0.9321943194832465
Sports and Outdoors,SVD-30,30,46,0.994279958346593,0.9321943345220592
Sports and Outdoors,SVD-30,30,47,0.9942802792779615,0.9321943345220592
Sports and Outdoors,SVD-30,30,48,0.99428060020933,0.9321943345220592
Sports and Outdoors,SVD-30,30,49,0.9942809211406984,0.9321943345220592
Sports and Outdoors,SVD-30,30,50,0.9942812420720669,0.9321943345220592
Sports and Outdoors,SVD-30,30,51,0.9942815630034355,0.9321943345220592
Sports and Outdoors,SVD-30,30,52,0.9942818839348041,0.9321943345220592
Sports and Outdoors,SVD-30,30,53,0.9942822048661725,0.9321943345220592
Sports and Outdoors,SVD-30,30,54,0.9942825257975411,0.9321943345220592
Sports and Outdoors,SVD-30,30,55,0.9942828467289095,0.9321943345220592
Sports and Outdoors,SVD-30,30,56,0.994283167660278,0.9321943345220592
Sports and Outdoors,SVD-30,30,57,0.9942834885916465,0.9321943345220592
Sports and Outdoors,SVD-30,30,58,0.9942838095230151,0.9321943345220592
Sports and Outdoors,SVD-30,30,59,0.9942841304543836,0.9321943345220592
Sports and Outdoors,SVD-30,30,60,0.994284451385752,0.9321943345220592
Sports and Outdoors,SVD-30,30,61,0.9942847723171206,0.9321943345220592
