category,predictor,nfactors,k,recall,precision
Toys and Games,SVD-30,30,0,0.02240256029260487,1.0
Toys and Games,SVD-30,30,1,0.5459539000074682,0.9561664190193165
Toys and Games,SVD-30,30,2,0.795623806532317,0.9463652988913018
Toys and Games,SVD-30,30,3,0.9017308143151789,0.9422505429191907
Toys and Games,SVD-30,30,4,0.9441193680656937,0.9402312645254697
Toys and Games,SVD-30,30,5,0.9625851790946093,0.9393483064731207
Toys and Games,SVD-30,30,6,0.9723616625073137,0.9388873014058751
Toys and Games,SVD-30,30,7,0.9779208234791845,0.9385729797691166
Toys and Games,SVD-30,30,8,0.981408243470582,0.9383882647812811
Toys and Games,SVD-30,30,9,0.9838622117820249,0.9382096729422138
Toys and Games,SVD-30,30,10,0.985590865527286,0.9381563335129458
Toys and Games,SVD-30,30,11,0.9867471924743659,0.9380924301058029
Toys and Games,SVD-30,30,12,0.9875837666480183,0.9380508669141656
Toys and Games,SVD-30,30,13,0.9881795900890479,0.9380091038994914
Toys and Games,SVD-30,30,14,0.9886423790904751,0.9379651428314133
Toys and Games,SVD-30,30,15,0.9890109309134274,0.9379395616765602
Toys and Games,SVD-30,30,16,0.9893168236859793,0.9379221787375576
Toys and Games,SVD-30,30,17,0.9895638753452982,0.9379204978731899
Toys and Games,SVD-30,30,18,0.9897460803156035,0.9379053700938809
Toys and Games,SVD-30,30,19,0.9899034053121442,0.9378926702297691
Toys and Games,SVD-30,30,20,0.9900135490240606,0.9378687577224752
Toys and Games,SVD-30,30,21,0.9901149928524206,0.937859504964337
Toys and Games,SVD-30,30,22,0.9901996855114751,0.9378569072648596
Toys and Games,SVD-30,30,23,0.9902642554115348,0.9378541966219267
Toys and Games,SVD-30,30,24,0.9903188856195622,0.9378511942084004
Toys and Games,SVD-30,30,25,0.9903652872202341,0.9378505274655345
Toys and Games,SVD-30,30,26,0.9904045368648231,0.9378496482441729
Toys and Games,SVD-30,30,27,0.9904437865094121,0.9378488341503197
Toys and Games,SVD-30,30,28,0.9904699088906168,0.9378398384132407
Toys and Games,SVD-30,30,29,0.990496371446753,0.9378406829854845
Toys and Games,SVD-30,30,30,0.9905186092497068,0.9378376612936787
Toys and Games,SVD-30,30,31,0.9905388806220886,0.9378363093726605
Toys and Games,SVD-30,30,32,0.9905592710556966,0.9378368278650965
Toys and Games,SVD-30,30,33,0.9905741846729065,0.9378372066962702
Toys and Games,SVD-30,30,34,0.9905890982901162,0.9378375632432573
Toys and Games,SVD-30,30,35,0.9906004875142972,0.9378377553420422
Toys and Games,SVD-30,30,36,0.9906118767384777,0.9378379367686723
Toys and Games,SVD-30,30,37,0.9906216784796447,0.9378381083884576
Toys and Games,SVD-30,30,38,0.9906300514860988,0.9378367670443463
Toys and Games,SVD-30,30,39,0.9906383492959894,0.9378369598560484
Toys and Games,SVD-30,30,40,0.9906466471058799,0.9378371430271653
Toys and Games,SVD-30,30,41,0.9906535161810578,0.937837317263106
Toys and Games,SVD-30,30,42,0.9906562019342726,0.9378360893145725
Toys and Games,SVD-30,30,43,0.9906602483872137,0.937836247535471
Toys and Games,SVD-30,30,44,0.9906629657846081,0.9378363985645104
Toys and Games,SVD-30,30,45,0.9906643224822763,0.9378352728947368
Toys and Games,SVD-30,30,46,0.9906670398796708,0.9378354385451382
Toys and Games,SVD-30,30,47,0.990668396577339,0.937835464978713
Toys and Games,SVD-30,30,48,0.9906697532750072,0.9378354903108888
Toys and Games,SVD-30,30,49,0.9906711099726754,0.937835514609098
Toys and Games,SVD-30,30,50,0.9906724666703436,0.937835537935379
Toys and Games,SVD-30,30,51,0.9906738233680118,0.937835560346904
Toys and Games,SVD-30,30,52,0.99067518006568,0.9378355818964471
Toys and Games,SVD-30,30,53,0.9906765367633482,0.9378356026328
Toys and Games,SVD-30,30,54,0.9906778934610164,0.9378356226011398
Toys and Games,SVD-30,30,55,0.99067822963389,0.9378346027635673
Toys and Games,SVD-30,30,56,0.9906795863315582,0.9378346398735598
Toys and Games,SVD-30,30,57,0.9906799225044316,0.9378346398735598
Toys and Games,SVD-30,30,58,0.9906802586773052,0.9378346398735598
Toys and Games,SVD-30,30,59,0.9906805948501787,0.9378346398735598
Toys and Games,SVD-30,30,60,0.9906809310230522,0.9378346398735598
Toys and Games,SVD-30,30,61,0.9906812671959259,0.9378346398735598
Toys and Games,SVD-30,30,62,0.9906816033687993,0.9378346398735598
Toys and Games,SVD-30,30,63,0.9906819395416728,0.9378346398735598
Toys and Games,SVD-30,30,64,0.9906822757145465,0.9378346398735598
Toys and Games,SVD-30,30,65,0.9906826118874199,0.9378346398735598
Toys and Games,SVD-30,30,66,0.9906829480602936,0.9378346398735598
Toys and Games,SVD-30,30,67,0.990683284233167,0.9378346398735598
Toys and Games,SVD-30,30,68,0.9906836204060405,0.9378346398735598
Toys and Games,SVD-30,30,69,0.9906839565789142,0.9378346398735598
Toys and Games,SVD-30,30,70,0.9906842927517876,0.9378346398735598
Toys and Games,SVD-30,30,71,0.9906846289246611,0.9378346398735598
Toys and Games,SVD-30,30,72,0.9906849650975348,0.9378346398735598
Toys and Games,SVD-30,30,73,0.9906853012704082,0.9378346398735598
Toys and Games,SVD-30,30,74,0.9906856374432819,0.9378346398735598
Toys and Games,SVD-30,30,75,0.9906859736161553,0.9378346398735598
Toys and Games,SVD-30,30,76,0.9906863097890288,0.9378346398735598
Toys and Games,SVD-30,30,77,0.9906866459619025,0.9378346398735598
Toys and Games,SVD-30,30,78,0.9906869821347759,0.9378346398735598
Toys and Games,SVD-30,30,79,0.9906873183076496,0.9378346398735598
Toys and Games,SVD-30,30,80,0.9906876544805231,0.9378346398735598
Toys and Games,SVD-30,30,81,0.9906879906533965,0.9378346398735598
Toys and Games,SVD-30,30,82,0.9906883268262702,0.9378346398735598
Toys and Games,SVD-30,30,83,0.9906886629991436,0.9378346398735598
Toys and Games,SVD-30,30,84,0.9906889991720171,0.9378346398735598
Toys and Games,SVD-30,30,85,0.9906893353448908,0.9378346398735598
Toys and Games,SVD-30,30,86,0.9906896715177642,0.9378346398735598
Toys and Games,SVD-30,30,87,0.9906900076906379,0.9378346398735598
Toys and Games,SVD-30,30,88,0.9906903438635114,0.9378346398735598
Toys and Games,SVD-30,30,89,0.9906906800363848,0.9378346398735598
Toys and Games,SVD-30,30,90,0.9906910162092585,0.9378346398735598
Toys and Games,SVD-30,30,91,0.9906913523821319,0.9378346398735598
Toys and Games,SVD-30,30,92,0.9906916885550054,0.9378346398735598
