category,predictor,nfactors,k,recall,precision
Video Games,SVD-30,30,0,0.04561292366170415,1.0
Video Games,SVD-30,30,1,0.5344422409298746,0.921263405583963
Video Games,SVD-30,30,2,0.7708843039936112,0.9098828001267025
Video Games,SVD-30,30,3,0.871844526712725,0.90341946091075
Video Games,SVD-30,30,4,0.9141073171193371,0.9004479840716775
Video Games,SVD-30,30,5,0.9335562425324075,0.8991311824064439
Video Games,SVD-30,30,6,0.9439998277890322,0.8983226993679955
Video Games,SVD-30,30,7,0.9500546861849077,0.8979908593149012
Video Games,SVD-30,30,8,0.9538300808911881,0.8976692545881196
Video Games,SVD-30,30,9,0.9567056879605165,0.8976032636684702
Video Games,SVD-30,30,10,0.9586963420724348,0.8974795778304987
Video Games,SVD-30,30,11,0.9602125851782709,0.897381671302437
Video Games,SVD-30,30,12,0.961366527927683,0.8973079671584129
Video Games,SVD-30,30,13,0.9622040246526601,0.8972258773550688
Video Games,SVD-30,30,14,0.9629143504058157,0.897186842223948
Video Games,SVD-30,30,15,0.9634844401628796,0.8971551665825164
Video Games,SVD-30,30,16,0.96395092226678,0.8971329182153202
Video Games,SVD-30,30,17,0.9643238417393988,0.8971031391196465
Video Games,SVD-30,30,18,0.9646064755022675,0.8970802179038577
Video Games,SVD-30,30,19,0.9648470985024681,0.8970697652068106
Video Games,SVD-30,30,20,0.9650418997634052,0.8970492832131028
Video Games,SVD-30,30,21,0.9651976416274509,0.8970291357813077
Video Games,SVD-30,30,22,0.9653420081418583,0.8970272748128871
Video Games,SVD-30,30,23,0.965443671875984,0.8970084947883229
Video Games,SVD-30,30,24,0.965527908033684,0.8969952146280954
Video Games,SVD-30,30,25,0.9655963554119373,0.8969822426987472
Video Games,SVD-30,30,26,0.9656583833589412,0.8969799453445334
Video Games,SVD-30,30,27,0.965704758567875,0.8969707920252755
Video Games,SVD-30,30,28,0.9657526261181612,0.8969667218370341
Video Games,SVD-30,30,29,0.9657920406627625,0.8969619292522996
Video Games,SVD-30,30,30,0.9658292233408536,0.8969558957967888
Video Games,SVD-30,30,31,0.9658628697248268,0.8969539495208174
