category,predictor,nfactors,k,recall,precision
Video Games,CDL-SDAE,10,0,0.04431551660288853,1.0
Video Games,CDL-SDAE,10,1,0.4883190381570836,0.9282393120190923
Video Games,CDL-SDAE,10,2,0.7705082762990904,0.9176439122742048
Video Games,CDL-SDAE,10,3,0.838156866771913,0.9144412898270445
Video Games,CDL-SDAE,10,4,0.8661807187655307,0.9126342426860882
Video Games,CDL-SDAE,10,5,0.8795782279453616,0.9120417232440439
Video Games,CDL-SDAE,10,6,0.8868953932546285,0.9115109245772127
Video Games,CDL-SDAE,10,7,0.8917064090112083,0.9112473866640021
Video Games,CDL-SDAE,10,8,0.8947483955832959,0.9110416507466255
Video Games,CDL-SDAE,10,9,0.8968677044137342,0.910965642754928
Video Games,CDL-SDAE,10,10,0.8984418980529988,0.9108668895145873
Video Games,CDL-SDAE,10,11,0.8995995930912383,0.9108171388291127
Video Games,CDL-SDAE,10,12,0.9004489652490092,0.9107672634552033
Video Games,CDL-SDAE,10,13,0.9011688356743272,0.9107356117756069
Video Games,CDL-SDAE,10,14,0.9017436584856219,0.9107055426799903
Video Games,CDL-SDAE,10,15,0.9021903618271192,0.9106804624919672
Video Games,CDL-SDAE,10,16,0.9025609138239393,0.9106610890264143
Video Games,CDL-SDAE,10,17,0.9028825340291273,0.9106604839207749
Video Games,CDL-SDAE,10,18,0.9031137788372121,0.9106452890458314
Video Games,CDL-SDAE,10,19,0.9033304000093151,0.9106501015819104
Video Games,CDL-SDAE,10,20,0.9035023536911879,0.9106436046582037
Video Games,CDL-SDAE,10,21,0.9036510036598682,0.910642135115937
Video Games,CDL-SDAE,10,22,0.9037705992580871,0.910635099125689
Video Games,CDL-SDAE,10,23,0.9038629286301235,0.9106310331984679
Video Games,CDL-SDAE,10,24,0.9039490347183536,0.9106325985804481
Video Games,CDL-SDAE,10,25,0.9040151768226075,0.9106269751320397
Video Games,CDL-SDAE,10,26,0.9040672003218934,0.9106238732674394
Video Games,CDL-SDAE,10,27,0.9041117453233257,0.9106219976123521
Video Games,CDL-SDAE,10,28,0.9041584600744632,0.9106246645594291
Video Games,CDL-SDAE,10,29,0.904191717388928,0.9106224855829644
Video Games,CDL-SDAE,10,30,0.9042211128564087,0.9106226747654171
Video Games,CDL-SDAE,10,31,0.9042443366866131,0.9106188697570529
Video Games,CDL-SDAE,10,32,0.9042702102838642,0.9106189941940996
Video Games,CDL-SDAE,10,33,0.9042962404676645,0.9106191110895071
Video Games,CDL-SDAE,10,34,0.9043196345167012,0.9106191110895071
Video Games,CDL-SDAE,10,35,0.9043434571030209,0.9106191110895072
Video Games,CDL-SDAE,10,36,0.9043630271350789,0.9106199928148674
Video Games,CDL-SDAE,10,37,0.9043794035494449,0.9106194676631264
Video Games,CDL-SDAE,10,38,0.904395675275526,0.9106189701509506
Video Games,CDL-SDAE,10,39,0.904409337915015,0.9106183315644325
Video Games,CDL-SDAE,10,40,0.9044225573361837,0.9106177249072401
Video Games,CDL-SDAE,10,41,0.9044348134889508,0.9106171478430817
Video Games,CDL-SDAE,10,42,0.9044473872921521,0.9106165982581689
Video Games,CDL-SDAE,10,43,0.9044564626528525,0.910613089583609
Video Games,CDL-SDAE,10,44,0.9044643105994948,0.9106112845010358
Video Games,CDL-SDAE,10,45,0.9044730380338629,0.9106122196642965
Video Games,CDL-SDAE,10,46,0.9044809891062784,0.9106122196642966
Video Games,CDL-SDAE,10,47,0.9044880050154329,0.9106113441923077
Video Games,CDL-SDAE,10,48,0.9044948732672307,0.9106111800413099
Video Games,CDL-SDAE,10,49,0.9045008608373083,0.9106101828519142
Video Games,CDL-SDAE,10,50,0.9045075702877974,0.9106100484937641
Video Games,CDL-SDAE,10,51,0.9045144930211358,0.910609919404561
Video Games,CDL-SDAE,10,52,0.9045221376348858,0.9106105865723173
Video Games,CDL-SDAE,10,53,0.9045280707234228,0.910609675840027
Video Games,CDL-SDAE,10,54,0.904534993456761,0.9106095608234416
Video Games,CDL-SDAE,10,55,0.9045388464515788,0.910607039346205
Video Games,CDL-SDAE,10,56,0.9045447795401157,0.9106075202873105
Video Games,CDL-SDAE,10,57,0.9045484796151549,0.9106064245759711
Video Games,CDL-SDAE,10,58,0.9045534399258197,0.9106060760819793
Video Games,CDL-SDAE,10,59,0.9045571400008591,0.9106061843007551
Video Games,CDL-SDAE,10,60,0.9045608400758981,0.9106062889122385
Video Games,CDL-SDAE,10,61,0.9045645401509375,0.9106063900938374
Video Games,CDL-SDAE,10,62,0.9045682402259767,0.9106064880115134
Video Games,CDL-SDAE,10,63,0.9045715662357116,0.9106059296907955
Video Games,CDL-SDAE,10,64,0.9045752663107509,0.9106060317423419
Video Games,CDL-SDAE,10,65,0.904578014083729,0.9106054976202486
Video Games,CDL-SDAE,10,66,0.9045810712340264,0.9106056031258473
Video Games,CDL-SDAE,10,67,0.9045841283843238,0.9106057054820252
Video Games,CDL-SDAE,10,68,0.9045865620924474,0.9106057957962996
Video Games,CDL-SDAE,10,69,0.9045889958005708,0.910605883492769
Video Games,CDL-SDAE,10,70,0.9045908808795813,0.9106053808667184
Video Games,CDL-SDAE,10,71,0.9045929956172905,0.9106048923991479
Video Games,CDL-SDAE,10,72,0.9045941240669875,0.9106032745228023
Video Games,CDL-SDAE,10,73,0.904596009145998,0.9106028282919314
Video Games,CDL-SDAE,10,74,0.9045984428541215,0.9106029501643741
Video Games,CDL-SDAE,10,75,0.9046008765622451,0.9106030687868851
Video Games,CDL-SDAE,10,76,0.9046033102703687,0.910603184287751
Video Games,CDL-SDAE,10,77,0.9046057439784921,0.9106032967885943
Video Games,CDL-SDAE,10,78,0.9046076290575028,0.9106028788768075
Video Games,CDL-SDAE,10,79,0.9046095141365134,0.9106024715450659
Video Games,CDL-SDAE,10,80,0.904611763328119,0.9106020743966178
Video Games,CDL-SDAE,10,81,0.9046139461387824,0.9106016870543041
Video Games,CDL-SDAE,10,82,0.904615831217793,0.9106017737842904
Video Games,CDL-SDAE,10,83,0.9046177162968035,0.9106018584243974
Video Games,CDL-SDAE,10,84,0.9046196013758142,0.910601941049264
Video Games,CDL-SDAE,10,85,0.9046212355573644,0.9106015376455043
Video Games,CDL-SDAE,10,86,0.9046231206363751,0.9106016220788493
Video Games,CDL-SDAE,10,87,0.9046250057153854,0.9106017045711979
Video Games,CDL-SDAE,10,88,0.9046268907943962,0.9106017851887203
Video Games,CDL-SDAE,10,89,0.9046285249759465,0.9106014016667089
Video Games,CDL-SDAE,10,90,0.904630410054957,0.9106014838583364
Video Games,CDL-SDAE,10,91,0.9046319210686632,0.9106011120767029
Video Games,CDL-SDAE,10,92,0.9046338061476739,0.9106011956292733
Video Games,CDL-SDAE,10,93,0.9046351877397519,0.9106003924993481
Video Games,CDL-SDAE,10,94,0.9046370728187625,0.9106004819292824
Video Games,CDL-SDAE,10,95,0.9046385106457788,0.9106001363482341
Video Games,CDL-SDAE,10,96,0.904639948472795,0.9106002085362753
Video Games,CDL-SDAE,10,97,0.9046410673293968,0.9105998550381357
Video Games,CDL-SDAE,10,98,0.904642505156413,0.9105999286234626
Video Games,CDL-SDAE,10,99,0.904643568918125,0.9105995850941017
Video Games,CDL-SDAE,10,100,0.9046443817823767,0.910598836963493
Video Games,CDL-SDAE,10,101,0.9046455687119328,0.910598511045208
Video Games,CDL-SDAE,10,102,0.9046470065389491,0.9105985949212372
Video Games,CDL-SDAE,10,103,0.904648193468505,0.9105982776813872
Video Games,CDL-SDAE,10,104,0.904649257230217,0.9105979665423038
Video Games,CDL-SDAE,10,105,0.9046503856799138,0.9105976613296793
Video Games,CDL-SDAE,10,106,0.90465157260947,0.9105973618757834
Video Games,CDL-SDAE,10,107,0.9046527595390262,0.9105970680191565
Video Games,CDL-SDAE,10,108,0.9046541973660424,0.9105971605967587
Video Games,CDL-SDAE,10,109,0.9046549421573397,0.9105964964814971
Video Games,CDL-SDAE,10,110,0.904656379984356,0.9105965925716669
Video Games,CDL-SDAE,10,111,0.9046578178113722,0.9105966869304825
Video Games,CDL-SDAE,10,112,0.9046586306756239,0.9105960448331857
Video Games,CDL-SDAE,10,113,0.9046593754669213,0.9105954141004428
Video Games,CDL-SDAE,10,114,0.9046608132939377,0.9105955163135984
Video Games,CDL-SDAE,10,115,0.9046616925391316,0.910594901145943
Video Games,CDL-SDAE,10,116,0.9046627563008437,0.9105946513017256
Video Games,CDL-SDAE,10,117,0.9046638200625556,0.9105944057283493
Video Games,CDL-SDAE,10,118,0.9046652578895719,0.9105945130221785
Video Games,CDL-SDAE,10,119,0.9046661258487134,0.9105942580866307
Video Games,CDL-SDAE,10,120,0.9046668706400107,0.9105943185971946
