category,predictor,nfactors,k,recall,precision
Toys and Games,CDL-SDAE-SGD,25,0,0.019992786108105322,1.0
Toys and Games,CDL-SDAE-SGD,25,1,0.5466936291149462,0.9542948420672953
Toys and Games,CDL-SDAE-SGD,25,2,0.8703985426920969,0.9403565723707941
Toys and Games,CDL-SDAE-SGD,25,3,0.9364954026825829,0.9380979371704369
Toys and Games,CDL-SDAE-SGD,25,4,0.9624843646057697,0.9367496264234555
Toys and Games,CDL-SDAE-SGD,25,5,0.9754924087675471,0.9360874942031226
Toys and Games,CDL-SDAE-SGD,25,6,0.9818585859535576,0.935701035708765
Toys and Games,CDL-SDAE-SGD,25,7,0.9859048453767687,0.9354372624507112
Toys and Games,CDL-SDAE-SGD,25,8,0.988680038380195,0.9352293109751759
Toys and Games,CDL-SDAE-SGD,25,9,0.9904754733990758,0.9351133734268685
Toys and Games,CDL-SDAE-SGD,25,10,0.9916615362618186,0.9349908517708795
Toys and Games,CDL-SDAE-SGD,25,11,0.9925786907878774,0.9349435398824794
Toys and Games,CDL-SDAE-SGD,25,12,0.9932210415574296,0.9349216796040107
Toys and Games,CDL-SDAE-SGD,25,13,0.9937072683376742,0.9349045036709283
Toys and Games,CDL-SDAE-SGD,25,14,0.9941012796465876,0.934899973754511
Toys and Games,CDL-SDAE-SGD,25,15,0.9944145975085946,0.9348926126403326
Toys and Games,CDL-SDAE-SGD,25,16,0.9946572113331287,0.9348644870499099
Toys and Games,CDL-SDAE-SGD,25,17,0.9948662619208061,0.9348440274825616
Toys and Games,CDL-SDAE-SGD,25,18,0.9950267725157286,0.9348270199409798
Toys and Games,CDL-SDAE-SGD,25,19,0.9951579967068468,0.9348184319744385
Toys and Games,CDL-SDAE-SGD,25,20,0.9952648001271648,0.9348120587992682
Toys and Games,CDL-SDAE-SGD,25,21,0.9953517081571692,0.934807887501234
Toys and Games,CDL-SDAE-SGD,25,22,0.9954166114189987,0.9347961766377686
Toys and Games,CDL-SDAE-SGD,25,23,0.9954717511343308,0.9347962784713639
Toys and Games,CDL-SDAE-SGD,25,24,0.9955174005243186,0.934795811734052
Toys and Games,CDL-SDAE-SGD,25,25,0.9955508513375491,0.9347928059457625
