category,predictor,nfactors,k,recall,precision
Video Games,CDL-SDAE-SGD,25,0,0.044319163820418915,1.0
Video Games,CDL-SDAE-SGD,25,1,0.5349171982833257,0.917822311839019
Video Games,CDL-SDAE-SGD,25,2,0.8369023857857489,0.8998600880622196
Video Games,CDL-SDAE-SGD,25,3,0.906918513881131,0.895511844505713
Video Games,CDL-SDAE-SGD,25,4,0.9355869917739088,0.8933582980124275
Video Games,CDL-SDAE-SGD,25,5,0.9490574430513543,0.8925023661577713
Video Games,CDL-SDAE-SGD,25,6,0.9563541395764997,0.8918851076087404
Video Games,CDL-SDAE-SGD,25,7,0.961085177499777,0.8914481277470454
Video Games,CDL-SDAE-SGD,25,8,0.9640429029927083,0.8912364962445206
Video Games,CDL-SDAE-SGD,25,9,0.9661179962331499,0.8911216175701177
Video Games,CDL-SDAE-SGD,25,10,0.9676711785291154,0.8910063959742985
Video Games,CDL-SDAE-SGD,25,11,0.9687513670399049,0.8908975340120149
Video Games,CDL-SDAE-SGD,25,12,0.9695821293175294,0.8908417313452086
Video Games,CDL-SDAE-SGD,25,13,0.9702782229467429,0.890783170918762
Video Games,CDL-SDAE-SGD,25,14,0.9708632043977764,0.8907585257972073
Video Games,CDL-SDAE-SGD,25,15,0.9713074466139778,0.8907138480355632
Video Games,CDL-SDAE-SGD,25,16,0.9716882462055179,0.8906858999401486
Video Games,CDL-SDAE-SGD,25,17,0.9720091847968679,0.8906657785217613
Video Games,CDL-SDAE-SGD,25,18,0.9722620816502554,0.8906478928165278
Video Games,CDL-SDAE-SGD,25,19,0.9724650624261483,0.8906267159150406
Video Games,CDL-SDAE-SGD,25,20,0.9726317217768906,0.8906031084828145
Video Games,CDL-SDAE-SGD,25,21,0.9727797775479534,0.8905914491546661
Video Games,CDL-SDAE-SGD,25,22,0.9729017221639942,0.8905830765278828
Video Games,CDL-SDAE-SGD,25,23,0.9729977052673081,0.8905765705089207
Video Games,CDL-SDAE-SGD,25,24,0.9730758045617339,0.8905609154007931
Video Games,CDL-SDAE-SGD,25,25,0.9731507265859118,0.8905525481182395
Video Games,CDL-SDAE-SGD,25,26,0.9732129985518471,0.8905484963698151
Video Games,CDL-SDAE-SGD,25,27,0.9732637167138951,0.8905459757508589
Video Games,CDL-SDAE-SGD,25,28,0.9733092826805518,0.8905462479107131
Video Games,CDL-SDAE-SGD,25,29,0.9733435942560883,0.890541585530868
Video Games,CDL-SDAE-SGD,25,30,0.9733775125274133,0.8905402611447093
Video Games,CDL-SDAE-SGD,25,31,0.9734046400543528,0.8905396416737641
Video Games,CDL-SDAE-SGD,25,32,0.9734280098729682,0.8905350371241038
Video Games,CDL-SDAE-SGD,25,33,0.9734501155698344,0.8905294646510918
Video Games,CDL-SDAE-SGD,25,34,0.9734739607764886,0.8905278509032513
Video Games,CDL-SDAE-SGD,25,35,0.9734948508183158,0.8905250498980708
Video Games,CDL-SDAE-SGD,25,36,0.9735123998295143,0.8905231556654863
Video Games,CDL-SDAE-SGD,25,37,0.9735284666262561,0.8905213329300313
Video Games,CDL-SDAE-SGD,25,38,0.9735478423138552,0.8905228548572268
Video Games,CDL-SDAE-SGD,25,39,0.9735637887872931,0.8905231325263895
Video Games,CDL-SDAE-SGD,25,40,0.9735776878429393,0.890522314790705
Video Games,CDL-SDAE-SGD,25,41,0.9735883477796179,0.8905204830885065
Video Games,CDL-SDAE-SGD,25,42,0.9735992139848175,0.8905187386102225
Video Games,CDL-SDAE-SGD,25,43,0.9736100215910055,0.8905179183330809
Video Games,CDL-SDAE-SGD,25,44,0.9736180979351249,0.8905158956042204
Video Games,CDL-SDAE-SGD,25,45,0.9736249667521877,0.8905147940990655
Video Games,CDL-SDAE-SGD,25,46,0.9736327596646076,0.8905146350630466
Video Games,CDL-SDAE-SGD,25,47,0.9736389065418468,0.8905127317064353
Video Games,CDL-SDAE-SGD,25,48,0.9736476346944924,0.8905134795669704
Video Games,CDL-SDAE-SGD,25,49,0.9736530195970635,0.890510837672387
Video Games,CDL-SDAE-SGD,25,50,0.9736617477497091,0.8905115934991816
Video Games,CDL-SDAE-SGD,25,51,0.9736681483496125,0.8905098990639492
Video Games,CDL-SDAE-SGD,25,52,0.9736742407408273,0.8905088439211302
Video Games,CDL-SDAE-SGD,25,53,0.9736784121421009,0.8905054993174779
Video Games,CDL-SDAE-SGD,25,54,0.9736852809591636,0.8905053267784009
Video Games,CDL-SDAE-SGD,25,55,0.9736917024874227,0.8905051328026502
Video Games,CDL-SDAE-SGD,25,56,0.9736969012326536,0.8905047854277092
Video Games,CDL-SDAE-SGD,25,57,0.9737021128696671,0.8905044502413626
Video Games,CDL-SDAE-SGD,25,58,0.973708046446504,0.8905048361057509
