category,predictor,nfactors,k,recall,precision
Video Games,CDL-SDAE-SGD,50,0,0.041932430764166084,1.0
Video Games,CDL-SDAE-SGD,50,1,0.5348535676562406,0.9210320562939797
Video Games,CDL-SDAE-SGD,50,2,0.8339285698466088,0.9026171762478911
Video Games,CDL-SDAE-SGD,50,3,0.903354235312314,0.898227782121449
Video Games,CDL-SDAE-SGD,50,4,0.9325764967516244,0.8966537728214202
Video Games,CDL-SDAE-SGD,50,5,0.9459767731344536,0.8957155398268932
Video Games,CDL-SDAE-SGD,50,6,0.9532564505728828,0.895153148704443
Video Games,CDL-SDAE-SGD,50,7,0.9579508423722914,0.8947955306561949
Video Games,CDL-SDAE-SGD,50,8,0.960946747413038,0.8945236429619788
Video Games,CDL-SDAE-SGD,50,9,0.9629474402382249,0.8943024586485762
Video Games,CDL-SDAE-SGD,50,10,0.9645366538071939,0.894206897880615
Video Games,CDL-SDAE-SGD,50,11,0.9656735907143802,0.8941440497374409
Video Games,CDL-SDAE-SGD,50,12,0.9665018467215002,0.8940735949737636
Video Games,CDL-SDAE-SGD,50,13,0.9671713717744466,0.8939936679052353
Video Games,CDL-SDAE-SGD,50,14,0.9677337526066175,0.8939486736007455
Video Games,CDL-SDAE-SGD,50,15,0.9681810193412981,0.8939179086508414
Video Games,CDL-SDAE-SGD,50,16,0.9685681600785755,0.8938975048265817
Video Games,CDL-SDAE-SGD,50,17,0.968868332845392,0.8938781398524945
Video Games,CDL-SDAE-SGD,50,18,0.9691041743483519,0.893851781971098
Video Games,CDL-SDAE-SGD,50,19,0.9692951834624195,0.8938215808218182
Video Games,CDL-SDAE-SGD,50,20,0.9694613379613535,0.8938002475000357
Video Games,CDL-SDAE-SGD,50,21,0.9696022053853676,0.893784081204704
Video Games,CDL-SDAE-SGD,50,22,0.9697084828179566,0.8937613682277915
Video Games,CDL-SDAE-SGD,50,23,0.969810870644933,0.8937553501602515
Video Games,CDL-SDAE-SGD,50,24,0.969891923707952,0.8937412605629367
Video Games,CDL-SDAE-SGD,50,25,0.9699580126035631,0.8937329618646666
Video Games,CDL-SDAE-SGD,50,26,0.9700148884006421,0.8937280237962741
Video Games,CDL-SDAE-SGD,50,27,0.9700672469039376,0.8937257376535
Video Games,CDL-SDAE-SGD,50,28,0.9701111735189886,0.8937236148066383
Video Games,CDL-SDAE-SGD,50,29,0.9701469528563988,0.8937170773392471
Video Games,CDL-SDAE-SGD,50,30,0.9701769735360243,0.8937132933787932
Video Games,CDL-SDAE-SGD,50,31,0.9702063486364667,0.8937120101889781
Video Games,CDL-SDAE-SGD,50,32,0.9702313316068033,0.89371122202282
Video Games,CDL-SDAE-SGD,50,33,0.9702555500944339,0.8937092346373401
Video Games,CDL-SDAE-SGD,50,34,0.9702781103472332,0.8937073641568886
Video Games,CDL-SDAE-SGD,50,35,0.9702942613667039,0.8937007593175125
Video Games,CDL-SDAE-SGD,50,36,0.970314092028576,0.89370020411141
Video Games,CDL-SDAE-SGD,50,37,0.970332837370054,0.8936996789164484
Video Games,CDL-SDAE-SGD,50,38,0.9703500533761987,0.8936990935598348
Video Games,CDL-SDAE-SGD,50,39,0.9703630119931015,0.8936963724020387
Video Games,CDL-SDAE-SGD,50,40,0.9703755357822992,0.8936944995235352
Video Games,CDL-SDAE-SGD,50,41,0.9703864486716447,0.8936926678213369
Video Games,CDL-SDAE-SGD,50,42,0.9703945528406592,0.8936888921012152
Video Games,CDL-SDAE-SGD,50,43,0.970405300949584,0.8936872059759797
Video Games,CDL-SDAE-SGD,50,44,0.9704170051960438,0.8936874669732521
