category,predictor,nfactors,k,recall,precision
Movies and TV,CDL-SDAE-SGD,25,0,0.03321232655695386,1.0
Movies and TV,CDL-SDAE-SGD,25,1,0.4979859846141919,0.9326153597934818
Movies and TV,CDL-SDAE-SGD,25,2,0.785143051952672,0.9152508873830267
Movies and TV,CDL-SDAE-SGD,25,3,0.8646579284282239,0.9103864149725718
Movies and TV,CDL-SDAE-SGD,25,4,0.9010680552877556,0.9078358610304399
Movies and TV,CDL-SDAE-SGD,25,5,0.9210630841303747,0.9064148381198235
Movies and TV,CDL-SDAE-SGD,25,6,0.9323006426788272,0.9056218403786167
Movies and TV,CDL-SDAE-SGD,25,7,0.9399977102188068,0.9050669378755052
Movies and TV,CDL-SDAE-SGD,25,8,0.9454024872829784,0.9046462952719002
Movies and TV,CDL-SDAE-SGD,25,9,0.9491982507217859,0.9043567753550812
Movies and TV,CDL-SDAE-SGD,25,10,0.952164915091739,0.9041326887321567
Movies and TV,CDL-SDAE-SGD,25,11,0.9545117856964388,0.9039383445155469
Movies and TV,CDL-SDAE-SGD,25,12,0.9563275566688206,0.9037808523626528
Movies and TV,CDL-SDAE-SGD,25,13,0.9578526538701315,0.9036571048345008
Movies and TV,CDL-SDAE-SGD,25,14,0.9591120651755475,0.9035455835709951
Movies and TV,CDL-SDAE-SGD,25,15,0.9601406610042119,0.9034486244904928
Movies and TV,CDL-SDAE-SGD,25,16,0.9610364098373062,0.9033703734417675
Movies and TV,CDL-SDAE-SGD,25,17,0.961809994352494,0.9032997564970224
Movies and TV,CDL-SDAE-SGD,25,18,0.9624592372525375,0.9032371967845281
Movies and TV,CDL-SDAE-SGD,25,19,0.9630351692407226,0.9031903980624353
Movies and TV,CDL-SDAE-SGD,25,20,0.963547119088019,0.9031526736691675
Movies and TV,CDL-SDAE-SGD,25,21,0.9639925133679125,0.9031094761707424
Movies and TV,CDL-SDAE-SGD,25,22,0.9643965421673308,0.9030710962436889
Movies and TV,CDL-SDAE-SGD,25,23,0.9647587699157945,0.9030388277699877
Movies and TV,CDL-SDAE-SGD,25,24,0.9650821551994863,0.9030139833835328
Movies and TV,CDL-SDAE-SGD,25,25,0.9653805097960729,0.9029917450270738
Movies and TV,CDL-SDAE-SGD,25,26,0.9656421604153156,0.9029613381960863
Movies and TV,CDL-SDAE-SGD,25,27,0.9658856135504927,0.9029402855451528
Movies and TV,CDL-SDAE-SGD,25,28,0.9661108824622425,0.9029172259645748
Movies and TV,CDL-SDAE-SGD,25,29,0.9663191854963968,0.9028982801581253
Movies and TV,CDL-SDAE-SGD,25,30,0.9665103944038764,0.9028800688700941
Movies and TV,CDL-SDAE-SGD,25,31,0.9666864579890594,0.90286341417399
Movies and TV,CDL-SDAE-SGD,25,32,0.9668511387729221,0.9028486217461518
Movies and TV,CDL-SDAE-SGD,25,33,0.9670020932313609,0.9028360015949787
Movies and TV,CDL-SDAE-SGD,25,34,0.9671435985908546,0.9028237643083835
Movies and TV,CDL-SDAE-SGD,25,35,0.9672767824519098,0.9028125313544081
Movies and TV,CDL-SDAE-SGD,25,36,0.9674037264521403,0.9028064233933145
Movies and TV,CDL-SDAE-SGD,25,37,0.9675203337386632,0.9027968664016668
Movies and TV,CDL-SDAE-SGD,25,38,0.9676277119953508,0.9027862116086967
Movies and TV,CDL-SDAE-SGD,25,39,0.9677306063727221,0.9027791624060238
Movies and TV,CDL-SDAE-SGD,25,40,0.9678290015441807,0.9027735464505051
Movies and TV,CDL-SDAE-SGD,25,41,0.9679210502072078,0.9027658433362037
Movies and TV,CDL-SDAE-SGD,25,42,0.9680063718150781,0.9027581791052259
Movies and TV,CDL-SDAE-SGD,25,43,0.9680874855865553,0.9027514520396954
Movies and TV,CDL-SDAE-SGD,25,44,0.968164699225429,0.9027448090320279
Movies and TV,CDL-SDAE-SGD,25,45,0.9682397215792216,0.9027396509653983
Movies and TV,CDL-SDAE-SGD,25,46,0.9683102437538574,0.9027328153491097
Movies and TV,CDL-SDAE-SGD,25,47,0.9683773776078997,0.9027276288113617
Movies and TV,CDL-SDAE-SGD,25,48,0.9684401443868984,0.9027236310106527
Movies and TV,CDL-SDAE-SGD,25,49,0.9685013097118471,0.9027189663503387
Movies and TV,CDL-SDAE-SGD,25,50,0.9685591822033615,0.9027154892576622
Movies and TV,CDL-SDAE-SGD,25,51,0.9686132232890471,0.9027102503760495
Movies and TV,CDL-SDAE-SGD,25,52,0.9686645945251219,0.9027058061603562
Movies and TV,CDL-SDAE-SGD,25,53,0.9687146559713629,0.902702103364707
Movies and TV,CDL-SDAE-SGD,25,54,0.9687598777737084,0.9026969451443304
Movies and TV,CDL-SDAE-SGD,25,55,0.9688041406872087,0.9026929930711625
Movies and TV,CDL-SDAE-SGD,25,56,0.9688447045066649,0.9026878437351806
Movies and TV,CDL-SDAE-SGD,25,57,0.9688846355856823,0.90268293573268
Movies and TV,CDL-SDAE-SGD,25,58,0.9689236017046048,0.9026784165846692
Movies and TV,CDL-SDAE-SGD,25,59,0.9689627175970811,0.9026755546671449
